code_muni,ano,serie,value
2109205,2023,PIB,102458
2109239,2021,PIB,60682
2109239,2023,PIB,74488
2109270,2021,PIB,164968
2109270,2023,PIB,186043
2109304,2021,PIB,76166
2109304,2023,PIB,108884
2109403,2021,PIB,89083
2109403,2023,PIB,120508
2109452,2021,PIB,286153
2109452,2023,PIB,381071
2109502,2021,PIB,673197
2109502,2023,PIB,687701
2109551,2021,PIB,124192
2109551,2023,PIB,149001
2109601,2021,PIB,443176
2109601,2023,PIB,522395
2109700,2021,PIB,474703
2109700,2023,PIB,433340
2109759,2021,PIB,60203
2109759,2023,PIB,71886
2109809,2021,PIB,357951
2109809,2023,PIB,483903
2109908,2021,PIB,1465933
2109908,2023,PIB,1837615
2110005,2021,PIB,743420
2110005,2023,PIB,985809
2110039,2021,PIB,253332
2110039,2023,PIB,382764
2110104,2021,PIB,218445
2110104,2023,PIB,391678
2110203,2021,PIB,354631
2110203,2023,PIB,364746
2110237,2021,PIB,74090
2110237,2023,PIB,115748
2110278,2021,PIB,95932
2110278,2023,PIB,131658
2110302,2021,PIB,3055535
2110302,2023,PIB,5184564
2110401,2021,PIB,143437
2110401,2023,PIB,186474
2110500,2021,PIB,312160
2110500,2023,PIB,404149
2110609,2021,PIB,281177
2110609,2023,PIB,384189
2110658,2021,PIB,320522
2110658,2023,PIB,339609
2110708,2021,PIB,355916
2110708,2023,PIB,479852
2110807,2021,PIB,86158
2110807,2023,PIB,92001
2110856,2021,PIB,121253
2110856,2023,PIB,138737
2110906,2021,PIB,98973
2110906,2023,PIB,127389
2111003,2021,PIB,135595
2111003,2023,PIB,152916
2111029,2021,PIB,123006
2111029,2023,PIB,143797
2111052,2021,PIB,151458
2111052,2023,PIB,226525
2111078,2021,PIB,156360
2111078,2023,PIB,208559
2111102,2021,PIB,340970
2111102,2023,PIB,444285
2111201,2021,PIB,2293735
2111201,2023,PIB,3135579
2111250,2021,PIB,61940
2111250,2023,PIB,75930
2111300,2021,PIB,36533730
2111300,2023,PIB,42389051
2111409,2021,PIB,170048
2111409,2023,PIB,198315
2111508,2021,PIB,429232
2111508,2023,PIB,586548
2111532,2021,PIB,127603
2111532,2023,PIB,149359
2111573,2021,PIB,83541
2111573,2023,PIB,103928
2111607,2021,PIB,739621
2111607,2023,PIB,1090033
2111631,2021,PIB,43955
2111631,2023,PIB,62616
2111672,2021,PIB,45766
2111672,2023,PIB,58526
2111706,2021,PIB,145752
2111706,2023,PIB,183735
