code_amc,solo_dominante,pct_dominante,area_mapeada_km2,pct_solo_agua_dunas,pct_solo_argissolos,pct_solo_gleissolos,pct_solo_latossolos,pct_solo_luvissolos,pct_solo_neossolos,pct_solo_plintossolos,pct_solo_nitossolos,pct_solo_vertissolos,pct_solo_dunas,pct_solo_chernossolos,pct_solo_planossolos,pct_solo_cambissolos,pct_solo_espodossolos
5015,PLANOSSOLOS,86.3817592171779,300.91100413527124,0,0.2836174536803428,0,0,0,13.334623329141754,0,0,0,0,0,86.3817592171779,0,0
5016,NEOSSOLOS,75.45918169918053,1673.4357959403173,0,0,0,0,0.025823343453021334,75.45918169918053,0,0,0,0,0,24.514994957366454,0,0
5017,LATOSSOLOS,67.93796153836881,122.028095540165,0,32.06203846163119,0,67.93796153836881,0,0,0,0,0,0,0,0,0,0
5018,PLANOSSOLOS,70.87421780234813,61.47336844038534,0,14.06263430267395,0,15.063147894977924,0,0,0,0,0,0,0,70.87421780234813,0,0
5019,NEOSSOLOS,41.39881806543671,459.40270208590573,0,39.39456501130587,0,0,0,41.39881806543671,0,0,0,0,0,0,19.206616923257418,0
5020,NEOSSOLOS,64.42362431767543,260.9822126971812,0,0,0,0,0,64.42362431767543,0,0,0,0,0,35.57637568232456,0,0
5021,LUVISSOLOS,100,1228.3755618574323,0,0,0,0,100,0,0,0,0,0,0,0,0,0
5022,NEOSSOLOS,100,213.4118945887457,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5023,ARGISSOLOS,90.6211613953021,234.7491732381315,0,90.6211613953021,9.3788386046979,0,0,0,0,0,0,0,0,0,0,0
5024,NEOSSOLOS,41.14988910132382,1095.7453733978246,0,10.578111697677983,0,25.911435502271296,19.633755117863362,41.14988910132382,0,0,0,0,0,0,2.7268085808635347,0
5025,NEOSSOLOS,97.50272096137941,245.47499296519305,0,0,0,0,2.497279038620579,97.50272096137941,0,0,0,0,0,0,0,0
5026,LATOSSOLOS,83.70940366347183,689.9166696813102,0,5.201642062791696,0,83.70940366347183,0,10.85220532240485,0,0,0,0,0,0.23674895133161925,0,0
5027,NEOSSOLOS,100,394.01544160366154,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5028,NEOSSOLOS,100,185.56119029210421,0,0,0,0,0,100,0,0,0,0,0,0,0,0
5029,ARGISSOLOS,100.00000000000001,117.2893413626988,0,100.00000000000001,0,0,0,0,0,0,0,0,0,0,0,0
5030,LUVISSOLOS,100,296.1843497884178,0,0,0,0,100,0,0,0,0,0,0,0,0,0
5031,NEOSSOLOS,99.99999999999999,863.8969716852805,0,0,0,0,0,99.99999999999999,0,0,0,0,0,0,0,0
