"especificacao","tratamento","outcome","n_obs","coef_ss","se_ss","t_stat","p_value","f_stat","r2_ss","erro"
"Dist ≤200km + FE Estado","Distância até ferrovia (km)","População (2010)",999,-0.0064555827068679,0.00205040072974078,-3.14844928273315,0.00164139203239522,209.371932422432,0.174834167313706,NA
"Dist ≤200km + FE Estado","Dummy atendimento (≤25km)","População (2010)",999,0.843238586839484,0.217252071775578,3.88138340844249,0.000103863943626381,93.39124383217,0.183213663833867,NA
"Dist ≤200km + FE Estado","Densidade de ferrovias (km/1000km²)","População (2010)",999,0.0221425820581481,0.00741387124427038,2.98664238001981,0.00282059460776041,27.5973546113066,0.209370034948939,NA
"Dist ≤200km + FE Estado","Distância até ferrovia (km)","PIB Total (2003)",999,-0.00755330356187429,0.00299754132915018,-2.51983300060644,0.0117410523958354,209.371932422432,0.12487294511207,NA
"Dist ≤200km + FE Estado","Dummy atendimento (≤25km)","PIB Total (2003)",999,1.37455423472151,0.281909273355934,4.87587449096084,1.08327471770586e-06,93.39124383217,0.145349740196583,NA
"Dist ≤200km + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Total (2003)",999,0.0294785623824089,0.00979403591098233,3.00984830465587,0.00261378197337137,27.5973546113066,0.168342523107778,NA
"Dist ≤200km + FE Estado","Distância até ferrovia (km)","PIB Valor Adicionado (2003)",999,-0.00727149274019061,0.00293027896188955,-2.48150187567865,0.0130830021789761,209.371932422432,0.126029840421116,NA
"Dist ≤200km + FE Estado","Dummy atendimento (≤25km)","PIB Valor Adicionado (2003)",999,1.32162202030075,0.274523990969225,4.81423141064895,1.47767497171714e-06,93.39124383217,0.145844427278144,NA
"Dist ≤200km + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Valor Adicionado (2003)",999,0.0285862191171927,0.00953296431693209,2.99867052543341,0.00271160365045664,27.5973546113066,0.168926390745849,NA
"Dist ≤200km + FE Estado","Distância até ferrovia (km)","PIB Agropecuária (2003)",999,-0.000108585824651378,0.00245401857989652,-0.0442481672881046,0.964706587683096,209.371932422432,0.221888974718787,NA
"Dist ≤200km + FE Estado","Dummy atendimento (≤25km)","PIB Agropecuária (2003)",999,0.228494865637084,0.221671399239939,1.03078189798297,0.302643108937786,93.39124383217,0.222755466681314,NA
"Dist ≤200km + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Agropecuária (2003)",999,0.008387020685111,0.00471927743648302,1.77718322306588,0.0755380988512,27.5973546113066,0.226672117910181,NA
"Dist ≤200km + FE Estado","Distância até ferrovia (km)","PIB Indústria (2003)",999,-0.0125877195585311,0.00482230497324367,-2.61031179661457,0.00904597317616718,209.371932422432,0.095311430089639,NA
"Dist ≤200km + FE Estado","Dummy atendimento (≤25km)","PIB Indústria (2003)",999,2.79681736883671,0.481664861756682,5.80656300863722,6.376828176613e-09,93.39124383217,0.131277179647283,NA
"Dist ≤200km + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Indústria (2003)",999,0.0507598241013983,0.0161267619734199,3.14755213632225,0.00164643741648751,27.5973546113066,0.145889626962911,NA
"Dist ≤200km + Excl. pontas + FE Estado","Distância até ferrovia (km)","População (2003)",998,-0.00593713480772551,0.00198500551048482,-2.99099159995552,0.00278073142409196,209.212211237002,0.174715676150167,NA
"Dist ≤200km + Excl. pontas + FE Estado","Dummy atendimento (≤25km)","População (2003)",998,0.794899264472409,0.213523698782362,3.72276833440688,0.000197050310032365,92.9572904625977,0.182606935875061,NA
"Dist ≤200km + Excl. pontas + FE Estado","Densidade de ferrovias (km/1000km²)","População (2003)",998,0.0217641320656125,0.00730009473050329,2.98134926587618,0.00286981285214072,27.5470361669584,0.209820421485614,NA
"Dist ≤200km + Excl. pontas + FE Estado","Distância até ferrovia (km)","População (2010)",998,-0.00617475721797502,0.00200347163244629,-3.08202877344237,0.00205594963191991,209.212211237002,0.174387220594356,NA
"Dist ≤200km + Excl. pontas + FE Estado","Dummy atendimento (≤25km)","População (2010)",998,0.825154303988424,0.216599580611253,3.80958403363389,0.000139200789351701,92.9572904625977,0.182677085546912,NA
"Dist ≤200km + Excl. pontas + FE Estado","Densidade de ferrovias (km/1000km²)","População (2010)",998,0.0221097747778819,0.00740373176096982,2.98630143442497,0.00282374152833098,27.5470361669584,0.209541636016273,NA
"Dist ≤200km + Excl. pontas + FE Estado","Distância até ferrovia (km)","PIB Total (2003)",998,-0.00715785499761715,0.00292223197843464,-2.44944790503984,0.0143075404970485,209.212211237002,0.123892170616016,NA
"Dist ≤200km + Excl. pontas + FE Estado","Dummy atendimento (≤25km)","PIB Total (2003)",998,1.35031965499756,0.280826726375919,4.80837302212468,1.52163632627378e-06,92.9572904625977,0.144124944387561,NA
"Dist ≤200km + Excl. pontas + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Total (2003)",998,0.0294292488532624,0.00977755219845907,3.0098789815615,0.00261351800363463,27.5470361669584,0.168144952170625,NA
"Dist ≤200km + Excl. pontas + FE Estado","Distância até ferrovia (km)","PIB Valor Adicionado (2003)",998,-0.00689272375268767,0.002859108458889,-2.41079478158938,0.0159178021727129,209.212211237002,0.125111575643326,NA
"Dist ≤200km + Excl. pontas + FE Estado","Dummy atendimento (≤25km)","PIB Valor Adicionado (2003)",998,1.29843786914657,0.27353498200401,4.74688048904668,2.0657792758616e-06,92.9572904625977,0.144684893362513,NA
"Dist ≤200km + Excl. pontas + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Valor Adicionado (2003)",998,0.0285390985454308,0.00951721762206882,2.99868088329235,0.00271151147614401,27.5470361669584,0.168754109813795,NA
"Dist ≤200km + Excl. pontas + FE Estado","Distância até ferrovia (km)","PIB Agropecuária (2003)",998,1.66846562730701e-05,0.00243878411403872,0.00684138303879617,0.994541408679965,209.212211237002,0.221394747868939,NA
"Dist ≤200km + Excl. pontas + FE Estado","Dummy atendimento (≤25km)","PIB Agropecuária (2003)",998,0.218858009112045,0.222041880530172,0.985660941933456,0.324299521950326,92.9572904625977,0.222189899640642,NA
"Dist ≤200km + Excl. pontas + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Agropecuária (2003)",998,0.00836868052438581,0.00471522356025738,1.77482157896433,0.0759273521137971,27.5470361669584,0.226166050600159,NA
"Dist ≤200km + Excl. pontas + FE Estado","Distância até ferrovia (km)","PIB Indústria (2003)",998,-0.0119536161711114,0.00470225723691445,-2.54210171176326,0.0110188103371081,209.212211237002,0.0942128278739421,NA
"Dist ≤200km + Excl. pontas + FE Estado","Dummy atendimento (≤25km)","PIB Indústria (2003)",998,2.76174777390288,0.480216749708326,5.75104424320958,8.86938988919894e-09,92.9572904625977,0.129859739901821,NA
"Dist ≤200km + Excl. pontas + FE Estado","Densidade de ferrovias (km/1000km²)","PIB Indústria (2003)",998,0.0506826678957257,0.0160994908715734,3.14809134649191,0.0016434032907664,27.5470361669584,0.145580366519962,NA
