serie,code_amc,ano,value
area_plantada_ha,3007,1999,79988
area_plantada_ha,3007,2000,82103
area_plantada_ha,3007,2001,86195
area_plantada_ha,3007,2002,93378
area_plantada_ha,3007,2003,103795
area_plantada_ha,3007,2004,102935
area_plantada_ha,3007,2005,104055
area_plantada_ha,3007,2006,91844
area_plantada_ha,3007,2007,93663
area_plantada_ha,3007,2008,90110
area_plantada_ha,3007,2009,93554
area_plantada_ha,3007,2010,91131
area_plantada_ha,3007,2011,89131
area_plantada_ha,3007,2012,88424
area_plantada_ha,3007,2013,80477
area_plantada_ha,3007,2014,77721
area_plantada_ha,3007,2015,69484
area_plantada_ha,3007,2016,47787
area_plantada_ha,3007,2017,49550
area_plantada_ha,3007,2018,43419
area_plantada_ha,3007,2019,32514
area_plantada_ha,3007,2020,33303
area_plantada_ha,3007,2021,35007
area_plantada_ha,3007,2022,35493
area_plantada_ha,3007,2023,35038
area_plantada_ha,3007,2024,33646
area_plantada_ha,3008,1988,129512
area_plantada_ha,3008,1989,153038
area_plantada_ha,3008,1990,93091
area_plantada_ha,3008,1991,121808
area_plantada_ha,3008,1992,132631
area_plantada_ha,3008,1993,192455
area_plantada_ha,3008,1994,209341
area_plantada_ha,3008,1995,227906
area_plantada_ha,3008,1996,63852
area_plantada_ha,3008,1997,71747
area_plantada_ha,3008,1998,88708
area_plantada_ha,3008,1999,87020
area_plantada_ha,3008,2000,93796
area_plantada_ha,3008,2001,91444
area_plantada_ha,3008,2002,92735
area_plantada_ha,3008,2003,111541
area_plantada_ha,3008,2004,118204
area_plantada_ha,3008,2005,136564
area_plantada_ha,3008,2006,134291
area_plantada_ha,3008,2007,135202
area_plantada_ha,3008,2008,128764
area_plantada_ha,3008,2009,129452
area_plantada_ha,3008,2010,132079
area_plantada_ha,3008,2011,135397
area_plantada_ha,3008,2012,119997
area_plantada_ha,3008,2013,114699
area_plantada_ha,3008,2014,111188
area_plantada_ha,3008,2015,92859
area_plantada_ha,3008,2016,59235
area_plantada_ha,3008,2017,54120
area_plantada_ha,3008,2018,68986
area_plantada_ha,3008,2019,70799
area_plantada_ha,3008,2020,71728
area_plantada_ha,3008,2021,72364
area_plantada_ha,3008,2022,84389
area_plantada_ha,3008,2023,99247
area_plantada_ha,3008,2024,109727
area_plantada_ha,3009,1988,20204
area_plantada_ha,3009,1989,19157
area_plantada_ha,3009,1990,8227
area_plantada_ha,3009,1991,5976
area_plantada_ha,3009,1992,16144
area_plantada_ha,3009,1993,8204
area_plantada_ha,3009,1994,8833
area_plantada_ha,3009,1995,10413
area_plantada_ha,3009,1996,9878
area_plantada_ha,3009,1997,22622
area_plantada_ha,3009,1998,24784
area_plantada_ha,3009,1999,6364
area_plantada_ha,3009,2000,7135
area_plantada_ha,3009,2001,7049
area_plantada_ha,3009,2002,9018
area_plantada_ha,3009,2003,20155
area_plantada_ha,3009,2004,23141
area_plantada_ha,3009,2005,24970
area_plantada_ha,3009,2006,22796
area_plantada_ha,3009,2007,22904
area_plantada_ha,3009,2008,24012
area_plantada_ha,3009,2009,26328
area_plantada_ha,3009,2010,35254
area_plantada_ha,3009,2011,38211
area_plantada_ha,3009,2012,43677
area_plantada_ha,3009,2013,47384
area_plantada_ha,3009,2014,63630
area_plantada_ha,3009,2015,65169
area_plantada_ha,3009,2016,60328
area_plantada_ha,3009,2017,74559
area_plantada_ha,3009,2018,79204
area_plantada_ha,3009,2019,74763
area_plantada_ha,3009,2020,72672
area_plantada_ha,3009,2021,75517
area_plantada_ha,3009,2022,83944
area_plantada_ha,3009,2023,76479
area_plantada_ha,3009,2024,76361
area_plantada_ha,3010,1988,10906
area_plantada_ha,3010,1989,8882
area_plantada_ha,3010,1990,7160
area_plantada_ha,3010,1991,7785
area_plantada_ha,3010,1992,8021
area_plantada_ha,3010,1993,8816
area_plantada_ha,3010,1994,8474
area_plantada_ha,3010,1995,8853
