code_amc,ano,pop_rural,pop_urbana,pop_total,tx_urbanizacao
3023,1950,9887,1142,11029,0.10354519902076344
3023,1960,11801,1100,12901,0.08526470816215798
3023,1970,14779,1604,16383,0.09790636635536837
3023,1980,16968,2902,19870,0.14604932058379466
3023,1991,16488,6900,23388,0.29502308876346844
3023,1996,17418,9611,27029,0.3555810425838914
3023,2000,10121,12735,22856,0.5571841092054602
3023,2007,10521,16943,27464,0.6169166909408681
3023,2010,10460,20637,31097,0.6636331478920796
3023,2022,17120,24152,41272,0.5851909284745106
3024,1940,18636,1245,19881,0.06262260449675569
3024,1950,27814,1864,29678,0.06280746681043196
3024,1960,25940,1721,27661,0.062217562633310436
3024,1970,41049,3776,44825,0.08423870607919688
3024,1980,51486,9395,60881,0.1543174389382566
3024,1991,48386,15128,63514,0.23818370752904872
3024,1996,51827,16143,67970,0.2375018390466382
3024,2000,42674,30833,73507,0.41945665038703794
3024,2007,44543,35335,79878,0.4423621022058639
3024,2010,47555,38109,85664,0.4448659880463205
3024,2022,41604,44609,86213,0.5174277661141591
3025,1940,21823,2042,23865,0.0855646344018437
3025,1950,21607,1888,23495,0.08035752287720792
3025,1960,18243,1921,20164,0.09526879587383455
3025,1970,30264,3970,34234,0.11596658292925162
3025,1980,31425,6504,37929,0.17147828838092224
3025,1991,28511,11150,39661,0.2811325987746149
3025,1996,26362,14802,41164,0.35958604605966377
3025,2000,21946,20613,42559,0.48433938767358253
3025,2007,20175,24305,44480,0.5464253597122302
3025,2010,19012,26653,45665,0.5836636373590277
3025,2022,16952,29951,46903,0.6385732255932456
3026,1940,10947,627,11574,0.054173146708138935
3026,1950,12502,565,13067,0.043238692890487485
3026,1960,12237,949,13186,0.07197027150007584
3026,1970,17365,1371,18736,0.07317463706233988
3026,1980,17623,2569,20192,0.12722860538827258
3026,1991,16967,4410,21377,0.20629648687842073
3026,1996,16313,4927,21240,0.23196798493408663
3026,2000,14552,5148,19700,0.26131979695431473
3026,2007,15192,5543,20735,0.2673257776706053
3026,2010,13738,6606,20344,0.32471490365709793
3026,2022,13579,6005,19584,0.3066278594771242
3027,1970,39932,6187,46119,0.13415295214553655
3027,1980,40044,11761,51805,0.22702441849242352
3027,1991,27199,12092,39291,0.3077549566058385
3027,1996,24590,12943,37533,0.3448432046465777
3027,2000,23885,21934,45819,0.4787097055806543
3027,2007,19775,20506,40281,0.509073756858072
3027,2010,22324,22215,44539,0.49877635330833653
3027,2022,19628,22362,41990,0.5325553703262682
3028,1970,21534,3457,24991,0.13832979872754192
3028,1980,27600,4353,31953,0.13623133978030233
3028,1991,32886,7686,40572,0.18944099378881987
3028,1996,35318,11721,47039,0.24917621548077126
3028,2000,33609,15281,48890,0.3125588054816936
3028,2007,30595,19345,49940,0.38736483780536646
3028,2010,28649,22709,51358,0.4421706452743487
3028,2022,22411,22940,45351,0.5058322859473882
3029,1940,24384,3978,28362,0.1402580918129892
3029,1950,29078,3679,32757,0.11231187227157555
3029,1960,32088,4607,36695,0.1255484398419403
3029,1970,31186,5759,36945,0.15588036270131275
3029,1980,34481,9429,43910,0.21473468458209974
3029,1991,32926,15164,48090,0.3153254314826367
3029,1996,33984,17351,51335,0.3379955196259862
3029,2000,37258,23554,60812,0.3873248700914293
3029,2007,40660,26347,67007,0.3931977256107571
3029,2010,42427,28241,70668,0.3996292522782589
3029,2022,35901,30994,66895,0.4633231183197548
3030,1940,11957,1396,13353,0.10454579495244515
3030,1950,14825,1325,16150,0.08204334365325078
3030,1960,16947,1902,18849,0.10090720993156135
3030,1970,17380,1851,19231,0.09625084498986013
3030,1980,18905,3260,22165,0.14707872772388902
3030,1991,17956,4900,22856,0.2143857192859643
3030,1996,19013,6078,25091,0.24223825275995378
3030,2000,16931,7195,24126,0.2982259802702479
3030,2007,17181,8093,25274,0.3202104929967556
3030,2010,18614,8399,27013,0.31092436974789917
3030,2022,19795,9890,29685,0.3331648980966818
3031,1940,8228,1026,9254,0.11087097471363734
3031,1950,9496,1788,11284,0.1584544487770294
3031,1960,9707,2452,12159,0.20166132083230529
3031,1970,10274,3313,13587,0.24383601972473687
3031,1980,11332,6360,17692,0.3594845127741352
3031,1991,10980,10162,21142,0.48065462113328916
3031,1996,9340,12459,21799,0.5715399788981146
3031,2000,6560,14886,21446,0.6941154527650844
3031,2007,6231,16048,22279,0.7203195834642488
3031,2010,5885,17014,22899,0.7430018778112581
3031,2022,5415,17040,22455,0.7588510354041417
3032,1970,24531,2466,26997,0.0913434826091788
3032,1980,36043,5922,41965,0.14111759799833196
3032,1991,41165,12084,53249,0.22693383913312926
3032,1996,40300,11890,52190,0.22782142172830044
3032,2000,27606,27056,54662,0.4949690827265742
3032,2007,25547,27770,53317,0.5208470093966278
3032,2010,24942,28221,53163,0.5308391174312962
3032,2022,21261,31066,52327,0.5936896821908384
3033,1940,6093,1498,7591,0.1973389540245027
3033,1950,9878,1471,11349,0.12961494404793375
3033,1960,12728,1780,14508,0.12269092914254205
3033,1970,13564,2165,15729,0.13764384258376247
3033,1980,14303,2894,17197,0.1682851660173286
3033,1991,14758,3972,18730,0.21206620395088094
3033,1996,15244,4178,19422,0.21511687776748017
3033,2000,14179,7798,21977,0.35482549938572144
3033,2007,17133,8775,25908,0.3386984715145901
3033,2010,15717,10512,26229,0.4007777650691982
3033,2022,16403,11883,28286,0.4201018171533621
3034,1950,7515,1024,8539,0.11992036538236328
3034,1960,9528,1364,10892,0.1252295262578039
3034,1970,11970,1478,13448,0.10990481856038073
3034,1980,14224,2284,16508,0.1383571601647686
3034,1991,13067,2951,16018,0.18423024097889873
3034,1996,12496,3375,15871,0.2126520068048642
3034,2000,9862,3543,13405,0.26430436404326746
3034,2007,8762,4080,12842,0.31770752219280485
3034,2010,14054,4284,18338,0.23361326207874358
3034,2022,12681,3731,16412,0.22733365829880575
3035,1940,8152,774,8926,0.08671297333632086
3035,1950,9137,1354,10491,0.12906300638642645
3035,1960,10066,1707,11773,0.14499278009003652
3035,1970,13557,2501,16058,0.15574791381242994
3035,1980,17938,5204,23142,0.22487252614294356
3035,1991,23062,9341,32403,0.2882757769342345
3035,1996,23185,10640,33825,0.31456023651145604
3035,2000,13688,25038,38726,0.6465423746320301
3035,2007,13413,28792,42205,0.6821940528373416
3035,2010,12950,32763,45713,0.7167107824907576
3035,2022,11490,34618,46108,0.7508024637806888
3036,1940,17379,2884,20263,0.14232838177959828
3036,1950,20510,3753,24263,0.15467996537938425
3036,1960,22749,5293,28042,0.18875258540760287
3036,1970,28494,5538,34032,0.16272919605077574
3036,1980,70050,7409,77459,0.09565060225409572
