code_amc,ano,pib_total,pop_total,pib_percapita
3077,1980,174907.630893908,68637,2548.299472498915
3077,1996,162494.840931767,87449,1858.1669422379557
3077,2000,310879.4833175439,99702,3118.0867316357135
3077,2007,424830.50887300743,111443,3812.0878733792833
3077,2010,539862.308,118059,4572.8178961366775
3078,1970,25608.3956164825,22644,1130.9130726233218
3078,1980,82244.2828919695,26094,3151.84651230051
3078,1996,36772.0659449364,31452,1169.1487328289584
3078,2000,75944.09946956,30299,2506.488645485329
3078,2007,113864.483907783,33473,3401.68147186637
3078,2010,111160.418,34267,3243.949514109785
3079,1970,7952.4946475525,10821,734.9130993025137
3079,1980,32091.0367912187,11395,2816.238419589179
3079,1996,23625.5826140481,15995,1477.0604947826257
3079,2000,31913.5850819485,13071,2441.5565053896794
3079,2007,35193.6892065403,12219,2880.242999143981
3079,2010,38906.758,13803,2818.717525175686
3080,1970,15591.3292293111,12359,1261.5364697233676
3080,1980,32616.8646676939,14775,2207.5712127034785
3080,1996,33908.6558480822,23496,1443.1671709262087
3080,2000,39510.8784710935,15124,2612.462210466378
3080,2007,83819.3993159537,15043,5571.9869252113085
3080,2010,80674.734,17381,4641.547321788159
3081,1970,61399.4023750105,30756,1996.3390029591135
3081,1980,132597.684037497,39769,3334.1970891271344
3081,1996,95263.7134914743,44118,2159.2935647915656
3081,2000,164117.8337444501,46973,3493.875923284655
3081,2007,203004.3404535834,47286,4293.117211301091
3081,2010,246470.495,52227,4719.216018534475
3082,1970,9449.3070263616,6094,1550.5918979917294
3082,1980,12104.033245132,5814,2081.8770631461985
3082,1996,11268.4119653728,7321,1539.190269822811
3082,2000,15477.1632098265,10693,1447.410755618302
3082,2007,28520.6830431489,11705,2436.6239250874755
3082,2010,37417.436,11541,3242.1311844727497
3083,1970,10112.7894954844,6264,1614.4299960862706
3083,1980,17547.8485774971,7923,2214.7985078249526
3083,1996,14222.5647132962,9055,1570.6863294639647
3083,2000,21571.2199641784,11724,1839.9198195307401
3083,2007,37011.8108968971,9798,3777.486313216687
3083,2010,41929.589,10717,3912.4371559205
3084,1970,17116.7230522725,15507,1103.8062199182627
3084,1980,36938.4217366561,17568,2102.5968657021913
3084,1996,18353.3140552678,18626,985.3599299510255
3084,2000,42428.7445306597,20631,2056.5529800135573
3084,2007,56708.0912390082,23154,2449.170391250246
3084,2010,78926.238,27774,2841.7310434219053
3085,1970,6694.8243506132,5110,1310.1417515877106
3085,1980,3739.6629521137,5506,679.1977755382674
3085,1996,43767.8276347631,6065,7216.459626506695
3085,2000,64062.6132755691,5261,12176.889046867345
3085,2007,43587.0466168209,5792,7525.387882738415
3085,2010,90293.406,5487,16455.87862219792
3086,1970,50783.1469708508,30269,1677.7279385130266
3086,1980,102362.267536509,34699,2950.00626924433
3086,1996,55367.5430427495,37123,1491.461978901207
3086,2000,102733.5664602319,40078,2563.3406472436723
3086,2007,180467.8191096515,43420,4156.329320811873
3086,2010,185115.123,46244,4003.0084551509385
3087,1970,23112.8067634813,16428,1406.9154348357258
3087,1980,65672.5143195726,33026,1988.5094870578512
3087,1996,31582.2302881204,27111,1164.9231045745419
3087,2000,66397.5084111544,30860,2151.5718862979393
3087,2007,92040.6370548177,34022,2705.3270546945414
3087,2010,112260.371,39110,2870.375121452314
3088,1970,60694.5426229759,27598,2199.2369962669723
3088,1980,249809.085075054,49442,5052.568364448323
3088,1996,174395.63138184,68942,2529.599248380378
3088,2000,282837.824047756,68321,4139.837298162439
3088,2007,391792.167624532,82026,4776.438783124034
3088,2010,448310.256,77282,5800.966020548122
3089,1970,19474.7602579683,12286,1585.1180415080823
3089,1980,40740.6783018518,16933,2405.992931072569
3089,1996,21255.500032917502,21137,1005.6062843789329
3089,2000,47232.6025605084,24922,1895.2171800220046
3089,2007,91943.7297980015,30882,2977.2595621398063
3089,2010,106281.495,32366,3283.738954458382
3090,1970,15208.7479011932,19795,768.3125992014751
3090,1980,45402.6703986704,22574,2011.281580520528
3090,1996,35769.255465101,28488,1255.5902648519027
3090,2000,68875.6455863666,33664,2045.973312332658
3090,2007,103233.1948652221,36017,2866.2352462787603
3090,2010,133752.307,38137,3507.153341898943
3091,1970,14364.1449752891,12211,1176.3283085160183
3091,1980,32539.8636929394,13130,2478.2836018994212
3091,1996,21236.6984914752,14101,1506.0420176920218
3091,2000,35633.5325190317,16442,2167.2261597756783
3091,2007,51629.9211362459,17191,3003.311100939207
3091,2010,62651.2,17799,3519.9280858475195
3092,1970,25106.1586874615,18743,1339.4952082090113
