serie,code_amc,ano,value
PIBI,8041,2007,4810.0924267121
PIBI,8041,2008,5329.2356026322
PIBI,8041,2009,6702.7307759303985
PIBI,8041,2010,5644
PIBI,8041,2011,9859.803179886947
PIBI,8041,2012,8977.743547641978
PIBI,8041,2013,11588.980021049087
PIBI,8041,2014,11811.737191860297
PIBI,8041,2015,7663.72654862407
PIBI,8041,2016,8254.605997310164
PIBI,8041,2017,7462.954799472877
PIBI,8041,2018,12310.565651529363
PIBI,8041,2019,9342.759663791236
PIBI,8041,2020,11324.718850073477
PIBI,8041,2021,8246.150764541933
PIBI,8042,1970,209.1234586044
PIBI,8042,1975,9946.3066208521
PIBI,8042,1980,13899.7630102744
PIBI,8042,1985,17862.0239134944
PIBI,8042,1996,13425.8234082163
PIBI,8042,1999,4673.2175771691
PIBI,8042,2000,4643.314885598
PIBI,8042,2001,4271.1687011416
PIBI,8042,2002,3103.0523674258
PIBI,8042,2003,1335.6530298513
PIBI,8042,2004,2050.0153835675
PIBI,8042,2005,1975.5921195519
PIBI,8042,2006,1908.2088402195
PIBI,8042,2007,2040.7517032438
PIBI,8042,2008,2271.5429327641
PIBI,8042,2009,2991.3999046897397
PIBI,8042,2010,3300
PIBI,8042,2011,2560.9638596447935
PIBI,8042,2012,3521.1365328800634
PIBI,8042,2013,3049.396610192981
PIBI,8042,2014,2724.991080860101
PIBI,8042,2015,3234.195472332091
PIBI,8042,2016,3188.4145206333296
PIBI,8042,2017,3208.899226667413
PIBI,8042,2018,3666.4661566085692
PIBI,8042,2019,3911.732786824307
PIBI,8042,2020,5401.669252066735
PIBI,8042,2021,5182.027717926975
PIBI,8043,1920,284.3514109339
PIBI,8043,1939,297.8589646322
PIBI,8043,1949,129.8292184484
PIBI,8043,1959,200.3412151114
PIBI,8043,1970,624.5925920568
PIBI,8043,1975,1059.8919332101
PIBI,8043,1980,1130.3170114564
PIBI,8043,1985,894.0255351827
PIBI,8043,1996,368.5753319165
PIBI,8043,1999,4915.4611131333
PIBI,8043,2000,5398.9966148321
PIBI,8043,2001,4708.2909358896
PIBI,8043,2002,2014.2035708929
PIBI,8043,2003,1475.4193845849
PIBI,8043,2004,1646.1336285958
PIBI,8043,2005,2043.3233446979
PIBI,8043,2006,2166.9106162816
PIBI,8043,2007,2012.0918813471
PIBI,8043,2008,2044.2290033631
PIBI,8043,2009,2619.5078541973216
PIBI,8043,2010,2584
PIBI,8043,2011,3169.354336755795
PIBI,8043,2012,2958.3704802604175
PIBI,8043,2013,15324.152753857865
PIBI,8043,2014,16646.49397149135
PIBI,8043,2015,21448.147454874077
PIBI,8043,2016,28264.34949309538
PIBI,8043,2017,24889.774226677542
PIBI,8043,2018,13195.41317790463
PIBI,8043,2019,13861.872965202885
PIBI,8043,2020,14753.269566239713
PIBI,8043,2021,13067.336447881255
PIBI,8044,1920,26417.2871588552
PIBI,8044,1939,54614.9233233305
PIBI,8044,1949,122648.529929946
PIBI,8044,1959,149677.467582006
PIBI,8044,1970,385354.601203757
PIBI,8044,1975,730888.57522262
PIBI,8044,1980,981255.582646323
PIBI,8044,1985,1785324.93188168
PIBI,8044,1996,1517448.65066362
PIBI,8044,1999,1659925.42535286
PIBI,8044,2000,1417089.26982273
PIBI,8044,2001,1318724.87221028
PIBI,8044,2002,1470511.84188494
PIBI,8044,2003,1262599.13705184
PIBI,8044,2004,1389491.70705012
PIBI,8044,2005,1395307.95727379
PIBI,8044,2006,1613805.25987828
PIBI,8044,2007,1731287.71797717
PIBI,8044,2008,1840493.03053507
PIBI,8044,2009,2015417.4665579486
PIBI,8044,2010,2143882
PIBI,8044,2011,2557292.283123594
PIBI,8044,2012,2278646.5891974033
PIBI,8044,2013,2194153.4333324
PIBI,8044,2014,2264322.2651728354
PIBI,8044,2015,2190328.7087851735
PIBI,8044,2016,1854307.916013495
PIBI,8044,2017,1844796.4101783899
PIBI,8044,2018,1771751.6937251405
PIBI,8044,2019,1609444.866094989
PIBI,8044,2020,1756601.0990005913
PIBI,8044,2021,2056882.688847116
PIBI,8045,1949,237.0036739459
PIBI,8045,1959,154.0745698535
PIBI,8045,1970,1364.0027632293
PIBI,8045,1975,6327.5635426954
PIBI,8045,1980,5375.2982692838
PIBI,8045,1985,17857.4325798924
PIBI,8045,1996,3628.3405459076
PIBI,8045,1999,5028.7085119532
PIBI,8045,2000,5031.4429545171
PIBI,8045,2001,4683.7713575812
PIBI,8045,2002,1960.5813463098
PIBI,8045,2003,1238.1006500183
PIBI,8045,2004,2553.1252289372
PIBI,8045,2005,2858.0384848456
PIBI,8045,2006,2666.2001673387
PIBI,8045,2007,2395.7580971668
PIBI,8045,2008,2502.0181693843
PIBI,8045,2009,3634.350301022112
PIBI,8045,2010,3321
PIBI,8045,2011,4004.8526399203724
PIBI,8045,2012,3954.757184366629
PIBI,8045,2013,4247.51591490225
PIBI,8045,2014,3459.7206738586556
PIBI,8045,2015,3132.6982437686584
PIBI,8045,2016,2582.5776986665905
PIBI,8045,2017,2496.014482375358
PIBI,8045,2018,3059.1948893344775
PIBI,8045,2019,3421.221048401782
PIBI,8045,2020,3746.2338824171306
PIBI,8045,2021,3523.4614192336553
PIBI,8046,1920,85.9574126401
PIBI,8046,1939,64.5361090037
PIBI,8046,1949,393.8443405278
PIBI,8046,1959,651.9390922683
PIBI,8046,1970,594.6076650442
PIBI,8046,1975,1287.8822092774
PIBI,8046,1980,2265.6913878043
PIBI,8046,1985,3065.4518623529
PIBI,8046,1996,1387.5729413492
PIBI,8046,1999,6579.0032507846
PIBI,8046,2000,7658.3551818083
PIBI,8046,2001,6965.9986391624
PIBI,8046,2002,5762.7078676635
PIBI,8046,2003,4765.267076912
PIBI,8046,2004,5823.484483924
PIBI,8046,2005,6190.2588365135
PIBI,8046,2006,7091.5398104699
PIBI,8046,2007,6967.373062221
PIBI,8046,2008,8497.3622629656
PIBI,8046,2009,11170.856548756212
PIBI,8046,2010,10536
PIBI,8046,2011,11262.147845640531
PIBI,8046,2012,10825.12147113504
PIBI,8046,2013,10431.434477654673
PIBI,8046,2014,11899.52114925671
PIBI,8046,2015,11887.519999449632
PIBI,8046,2016,9974.421310767577
PIBI,8046,2017,11884.064050554505
PIBI,8046,2018,12528.41031057079
PIBI,8046,2019,15428.92593022055
PIBI,8046,2020,13446.124711084447
PIBI,8046,2021,15295.874446744725
PIBI,8047,1959,226.2416815953
PIBI,8047,1970,355.0280570724
PIBI,8047,1975,574.0007139607
PIBI,8047,1980,502.6995307278
PIBI,8047,1985,702.3190212709
PIBI,8047,1996,68.0545888608
PIBI,8047,1999,3172.0166573365
PIBI,8047,2000,2929.8350648788
PIBI,8047,2001,2679.1127944603
PIBI,8047,2002,673.0362381716
PIBI,8047,2003,471.3521988398
PIBI,8047,2004,740.7089827748
PIBI,8047,2005,891.4681811689
PIBI,8047,2006,898.1168530005
PIBI,8047,2007,974.978182407
PIBI,8047,2008,987.7787725546
PIBI,8047,2009,1148.203152978048
PIBI,8047,2010,1495
PIBI,8047,2011,1362.6469563214546
PIBI,8047,2012,1140.0716537112278
PIBI,8047,2013,1253.013217076427
PIBI,8047,2014,1327.0868853457828
PIBI,8047,2015,1324.264515918844
PIBI,8047,2016,1160.28853128499
PIBI,8047,2017,1077.5880126165741
PIBI,8047,2018,1184.6767345183093
PIBI,8047,2019,1377.7030728660156
PIBI,8047,2020,1300.2845874455288
PIBI,8047,2021,1001.3016354340475
PIBI,8048,1920,431.1583872985
PIBI,8048,1939,287.9303324777
PIBI,8048,1949,1015.1076475991
PIBI,8048,1959,774.1361649108
PIBI,8048,1970,3498.931761874
PIBI,8048,1975,12824.9307537087
PIBI,8048,1980,18991.7410007305
PIBI,8048,1985,26639.0453307606
PIBI,8048,1996,332267.366456653
PIBI,8048,1999,306209.804497148
PIBI,8048,2000,336312.511198408
PIBI,8048,2001,296965.019009559
PIBI,8048,2002,407088.695838178
PIBI,8048,2003,489665.725788414
PIBI,8048,2004,571048.623208942
PIBI,8048,2005,555914.879723769
PIBI,8048,2006,536562.839904018
PIBI,8048,2007,624369.890275373
PIBI,8048,2008,554405.588766312
PIBI,8048,2009,351929.1454379968
PIBI,8048,2010,456556
PIBI,8048,2011,471880.20960190403
PIBI,8048,2012,351814.3096429959
PIBI,8048,2013,411383.7304829011
PIBI,8048,2014,278340.7984946
PIBI,8048,2015,375751.65543893207
PIBI,8048,2016,364878.0723076306
PIBI,8048,2017,430683.96397948486
PIBI,8048,2018,321099.51380353357
PIBI,8048,2019,485350.4087213232
PIBI,8048,2020,551196.6525452283
PIBI,8048,2021,603109.4160191908
PIBI,8049,1970,1443.2642792924
PIBI,8049,1975,4633.6368353836
PIBI,8049,1980,5770.4817880979
PIBI,8049,1985,8538.428384968
PIBI,8049,1996,230.6858387796
PIBI,8049,1999,3719.646490883
PIBI,8049,2000,4052.0862057828
PIBI,8049,2001,3699.9157166237
PIBI,8049,2002,1293.574901266
PIBI,8049,2003,988.0754290811
PIBI,8049,2004,1080.450684173
PIBI,8049,2005,1350.9248679667
PIBI,8049,2006,2162.9310863729
PIBI,8049,2007,2327.9371928948
PIBI,8049,2008,2051.8710592393
PIBI,8049,2009,2547.948450895574
PIBI,8049,2010,2170
PIBI,8049,2011,3084.4197026219376
PIBI,8049,2012,3936.796565666002
PIBI,8049,2013,3213.2827833471038
