code_muni,municipio,estado,sabem(7a14),nsabem(7a14),sabem(15a),nsabem(15a),chave_join,numeroestabelecimento,commaquinas,cominstruagra,fabeofi,casaneg,popu
2807204,Siriry,SE,132,868,191,809,siriry_SE,168,24,8,0,3,6600
2804805,Soccorro,SE,216,784,293,707,soccorro_SE,194,4,6,0,0,5327
2806701,São Christovão,SE,102,898,183,817,sao christovao_SE,80,5,6,3,25,14093
2802304,São Paulo,SE,80,920,135,865,sao paulo_SE,437,38,0,5,16,16252
2801702,Villa Christina,SE,78,922,124,876,villa christina_SE,105,18,0,1,17,7494
2804409,Villa Nova,SE,133,867,220,780,villa nova_SE,83,8,2,10,22,16242
2708006,Sant'Anna do Ipanema.,AL,80,920,217,788,santanna do ipanema_AL,0,0,0,3,74,40234
2708600,São Miguel de Campos.,AL,128,872,225,775,sao miguel de campos_AL,0,0,0,175,93,30141
2900801,Aleobaça,BA,124,876,267,733,aleobaca_BA,0,0,0,6,45,8068
2901403,Angieal.,BA,77,923,196,804,angieal_BA,0,0,0,NA,NA,NA
2927002,Barracilo.,BA,77,923,204,796,barracilo_BA,0,0,0,NA,NA,NA
2903409,Beimonte,BA,320,680,439,561,beimonte_BA,0,0,0,NA,NA,NA
2924306,Bom Jesus do Rio de Conta,BA,62,938,212,788,bom jesus do rio de conta_BA,0,0,0,1,47,22920
2999905,Cachocira d'Abbadia,BA,90,910,176,824,cachocira dabbadia_BA,0,0,0,3,3,7550
2906303,Cannaviciras,BA,179,821,409,591,cannaviciras_BA,0,0,0,2,132,18606
2907103,Carinhanhn.,BA,26,974,117,883,carinhanhn_BA,0,0,0,NA,NA,NA
2933604,Chique-Chique.,BA,129,871,292,708,chiquechique_BA,0,0,0,0,33,19836
2929909,Dr. Seabra,BA,50,950,216,784,dr seabra_BA,0,0,0,1,35,28740
2910800,Feirs de Sant'Anna.,BA,93,907,191,809,feirs de santanna_BA,0,0,0,18,176,77600
2999924,Gamelleira de Assurua.,BA,79,921,253,747,gamelleira de assurua_BA,0,0,0,1,23,12014
2918001,Jequić,BA,88,912,228,772,jequic_BA,0,0,0,NA,NA,NA
2920601,Maragogype,BA,126,874,238,762,maragogype_BA,0,0,0,8,105,29258
2921906,Mueuge,BA,97,903,242,758,mueuge_BA,0,0,0,NA,NA,NA
2926400,Riacho de Sant'Anna.,BA,64,936,201,799,riacho de santanna_BA,0,0,0,0,11,19640
2907509,Sant'Anna do Catú,BA,122,878,225,775,santanna do catu_BA,313,3,7,3,40,16525
2928208,Sant'Anna dos Brejog.,BA,52,948,184,816,santanna dos brejog_BA,0,0,0,NA,NA,NA
2929206,Villa de São Franriseo.,BA,120,880,223,777,villa de sao franriseo_BA,0,0,0,18,60,32893
2301109,Araeaty,CE,152,848,241,759,araeaty_CE,0,0,0,NA,NA,NA
2306900,Jaguaribe Mirim,CE,204,796,352,648,jaguaribe mirim_CE,0,0,0,0,0,9759
2312007,Sant'Anna,CE,140,860,319,681,santanna_CE,161,0,0,2,3,16651
2312106,Sant'Anna do Cariry,CE,78,922,19,809,santanna do cariry_CE,157,85,0,0,31,14159
2101707,Barreirnha,MA,84,916,178,822,barreirnha_MA,0,0,0,NA,NA,NA
2101806,Benedicto Leite,MA,73,927,192,808,benedicto leite_MA,75,0,0,0,0,4580
2105401,Itapecurú-Mirim,MA,50,950,117,883,itapecurumirim_MA,0,0,0,2,36,18166
2111300,São Luis,MA,520,480,634,366,sao luis_MA,0,0,0,31,355,52929
2112407,Tury-assú,MA,89,911,213,787,turyassu_MA,33,0,2,1,15,16911
2100501,Victoria do Alto Parnabyba,MA,74,926,185,815,victoria do alto parnabyba_MA,0,0,0,0,0,9321
2516201,Souza,PB,127,873,229,771,souza_PB,428,57,2,4,29,23241
2600104,Afogados de Ingazeira,PE,116,884,272,728,afogados de ingazeira_PE,0,0,0,14,33,17703
2614105,Alagôs de Baixo,PE,111,889,253,747,alagos de baixo_PE,0,0,0,2,34,15330
2604106,Carvarú,PE,122,878,233,767,carvaru_PE,0,0,0,NA,NA,NA
2610608,Páo d'Alho,PE,124,876,209,791,pao dalho_PE,0,0,0,1,11,36988
2614204,Serinhãem,PE,62,938,109,891,serinhaem_PE,0,0,0,0,12,14644
2201903,Bom Jesus do Gurgeia,PI,38,962,157,843,bom jesus do gurgeia_PI,0,0,0,0,11,10427
2211209,Urussuby,PI,58,942,178,822,urussuby_PI,0,0,0,0,0,9997
2402600,Ceará-Mirim,RN,103,897,189,811,cearamirim_RN,0,0,0,52,34,26319
2404200,Goyaninha,RN,93,907,163,837,goyaninha_RN,0,0,0,0,13,8235
2409407,Pau dos Ferros,RN,100,900,336,664,pau dos ferros_RN,0,0,0,0,9,10124
2410207,Port'Alegre,RN,107,893,409,591,portalegre_RN,59,10,0,1,0,4655
2411403,Sant'Anna do Mattos,RN,92,908,235,765,santanna do mattos_RN,235,7,1,1,27,21393
2412203,São José do Mipibú,RN,74,926,128,872,sao jose do mipibu_RN,0,0,0,1,31,17875
2801009,Campo do Brito,SE,74,926,117,883,campo do brito_SE,0,0,0,0,28,18018
