NC,NN,MN,V,D1C,D1N,D2N,D3N,D4N
6,Município,,NA,2100105,Afonso Cunha - MA,1977,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1977,Quantidade produzida,Total
6,Município,Mil Cruzeiros,3749,2100105,Afonso Cunha - MA,1977,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1978,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1978,Quantidade produzida,Total
6,Município,Mil Cruzeiros,5806,2100105,Afonso Cunha - MA,1978,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1979,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1979,Quantidade produzida,Total
6,Município,Mil Cruzeiros,8820,2100105,Afonso Cunha - MA,1979,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1980,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1980,Quantidade produzida,Total
6,Município,Mil Cruzeiros,14821,2100105,Afonso Cunha - MA,1980,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1981,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1981,Quantidade produzida,Total
6,Município,Mil Cruzeiros,20677,2100105,Afonso Cunha - MA,1981,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1982,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1982,Quantidade produzida,Total
6,Município,Mil Cruzeiros,59771,2100105,Afonso Cunha - MA,1982,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1983,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1983,Quantidade produzida,Total
6,Município,Mil Cruzeiros,45100,2100105,Afonso Cunha - MA,1983,Valor da produção,Total
6,Município,,NA,2100105,Afonso Cunha - MA,1984,Área plantada ou destinada à colheita,Total
6,Município,Toneladas,NA,2100105,Afonso Cunha - MA,1984,Quantidade produzida,Total
6,Município,Mil Cruzeiros,453806,2100105,Afonso Cunha - MA,1984,Valor da produção,Total
