code_muni,ano,serie,value
2100303,1998,valor_producao_mil_reais,670
2100303,1999,area_plantada_ha,4835
2100303,1999,valor_producao_mil_reais,1340
2100303,2000,area_plantada_ha,5026
2100303,2000,valor_producao_mil_reais,1361
2100303,2001,area_plantada_ha,5256
2100303,2001,valor_producao_mil_reais,1541
2100303,2002,area_plantada_ha,5331
2100303,2002,valor_producao_mil_reais,1654
2100303,2003,area_plantada_ha,5556
2100303,2003,valor_producao_mil_reais,2463
2100303,2004,area_plantada_ha,5622
2100303,2004,valor_producao_mil_reais,3464
2100303,2005,area_plantada_ha,5965
2100303,2005,valor_producao_mil_reais,2758
2100303,2006,area_plantada_ha,6324
2100303,2006,valor_producao_mil_reais,2251
2100303,2007,area_plantada_ha,6763
2100303,2007,valor_producao_mil_reais,2514
2100303,2008,area_plantada_ha,11593
2100303,2008,valor_producao_mil_reais,26622
2100303,2009,area_plantada_ha,11917
2100303,2009,valor_producao_mil_reais,28631
2100303,2010,area_plantada_ha,11824
2100303,2010,valor_producao_mil_reais,36655
2100303,2011,area_plantada_ha,12389
2100303,2011,valor_producao_mil_reais,26570
2100303,2012,area_plantada_ha,13201
2100303,2012,valor_producao_mil_reais,39282
2100303,2013,area_plantada_ha,13013
2100303,2013,valor_producao_mil_reais,64173
2100303,2014,area_plantada_ha,12477
2100303,2014,valor_producao_mil_reais,283347
2100303,2015,area_plantada_ha,12112
2100303,2015,valor_producao_mil_reais,56228
2100303,2016,area_plantada_ha,9451
2100303,2016,valor_producao_mil_reais,20324
2100303,2017,area_plantada_ha,9756
2100303,2017,valor_producao_mil_reais,24549
2100303,2018,area_plantada_ha,8926
2100303,2018,valor_producao_mil_reais,26127
2100303,2019,area_plantada_ha,9091
2100303,2019,valor_producao_mil_reais,28830
2100303,2020,area_plantada_ha,9226
2100303,2020,valor_producao_mil_reais,32889
2100303,2021,area_plantada_ha,9735
2100303,2021,valor_producao_mil_reais,48957
2100303,2022,area_plantada_ha,9839
2100303,2022,valor_producao_mil_reais,117217
2100303,2023,area_plantada_ha,18024
2100303,2023,valor_producao_mil_reais,106028
2100303,2024,area_plantada_ha,21267
2100303,2024,valor_producao_mil_reais,123858
2100402,1974,valor_producao_mil_reais,14329
2100402,1975,valor_producao_mil_reais,16923
2100402,1976,valor_producao_mil_reais,19973
2100402,1977,valor_producao_mil_reais,28701
2100402,1978,valor_producao_mil_reais,57394
2100402,1979,valor_producao_mil_reais,80525
2100402,1980,valor_producao_mil_reais,252145
2100402,1981,valor_producao_mil_reais,385825
2100402,1982,valor_producao_mil_reais,691269
2100402,1983,valor_producao_mil_reais,1476130
2100402,1984,valor_producao_mil_reais,5944496
2100402,1985,valor_producao_mil_reais,13868
2100402,1986,valor_producao_mil_reais,62437
2100402,1987,valor_producao_mil_reais,109416
2100402,1988,area_plantada_ha,24736
2100402,1988,valor_producao_mil_reais,1632723
2100402,1989,area_plantada_ha,27543
2100402,1989,valor_producao_mil_reais,14107
2100402,1990,area_plantada_ha,23683
2100402,1990,valor_producao_mil_reais,169219
2100402,1991,area_plantada_ha,28140
2100402,1991,valor_producao_mil_reais,1561815
2100402,1992,area_plantada_ha,29235
2100402,1992,valor_producao_mil_reais,12798697
2100402,1993,area_plantada_ha,29689
2100402,1993,valor_producao_mil_reais,259905
2100402,1994,area_plantada_ha,24558
2100402,1994,valor_producao_mil_reais,4337
2100402,1995,area_plantada_ha,25569
2100402,1995,valor_producao_mil_reais,4093
2100402,1996,area_plantada_ha,8119
2100402,1996,valor_producao_mil_reais,1438
2100402,1997,area_plantada_ha,1055
2100402,1997,valor_producao_mil_reais,199
2100402,1998,area_plantada_ha,2469
2100402,1998,valor_producao_mil_reais,450
2100402,1999,area_plantada_ha,1459
2100402,1999,valor_producao_mil_reais,384
2100402,2000,area_plantada_ha,1680
2100402,2000,valor_producao_mil_reais,478
2100402,2001,area_plantada_ha,2022
2100402,2001,valor_producao_mil_reais,645
2100402,2002,area_plantada_ha,2332
2100402,2002,valor_producao_mil_reais,923
2100402,2003,area_plantada_ha,2787
2100402,2003,valor_producao_mil_reais,1369
2100402,2004,area_plantada_ha,2733
2100402,2004,valor_producao_mil_reais,1731
2100402,2005,area_plantada_ha,2662
2100402,2005,valor_producao_mil_reais,982
2100402,2006,area_plantada_ha,2281
2100402,2006,valor_producao_mil_reais,1460
2100402,2007,area_plantada_ha,2491
2100402,2007,valor_producao_mil_reais,1843
2100402,2008,area_plantada_ha,2441
2100402,2008,valor_producao_mil_reais,3805
2100402,2009,area_plantada_ha,2534
2100402,2009,valor_producao_mil_reais,2262
2100402,2010,area_plantada_ha,2488
2100402,2010,valor_producao_mil_reais,2012
2100402,2011,area_plantada_ha,2459
2100402,2011,valor_producao_mil_reais,2672
2100402,2012,area_plantada_ha,2485
2100402,2012,valor_producao_mil_reais,2925
2100402,2013,area_plantada_ha,2466
2100402,2013,valor_producao_mil_reais,3394
2100402,2014,area_plantada_ha,2509
2100402,2014,valor_producao_mil_reais,3314
2100402,2015,area_plantada_ha,2628
2100402,2015,valor_producao_mil_reais,3609
2100402,2016,area_plantada_ha,1910
2100402,2016,valor_producao_mil_reais,3270
2100402,2017,area_plantada_ha,2045
2100402,2017,valor_producao_mil_reais,4171
2100402,2018,area_plantada_ha,1487
2100402,2018,valor_producao_mil_reais,2845
2100402,2019,area_plantada_ha,1062
2100402,2019,valor_producao_mil_reais,1713
2100402,2020,area_plantada_ha,1049
2100402,2020,valor_producao_mil_reais,1781
2100402,2021,area_plantada_ha,1102
2100402,2021,valor_producao_mil_reais,2753
2100402,2022,area_plantada_ha,1102
2100402,2022,valor_producao_mil_reais,4094
2100402,2023,area_plantada_ha,1168
2100402,2023,valor_producao_mil_reais,4377
2100402,2024,area_plantada_ha,410
2100402,2024,valor_producao_mil_reais,2260
2100436,1997,area_plantada_ha,3600
2100436,1997,valor_producao_mil_reais,796
2100436,1998,area_plantada_ha,2962
2100436,1998,valor_producao_mil_reais,1236
2100436,1999,area_plantada_ha,4236
2100436,1999,valor_producao_mil_reais,1280
2100436,2000,area_plantada_ha,4685
2100436,2000,valor_producao_mil_reais,1363
2100436,2001,area_plantada_ha,4745
2100436,2001,valor_producao_mil_reais,1636
2100436,2002,area_plantada_ha,5033
2100436,2002,valor_producao_mil_reais,1858
2100436,2003,area_plantada_ha,4809
2100436,2003,valor_producao_mil_reais,2003
2100436,2004,area_plantada_ha,4756
2100436,2004,valor_producao_mil_reais,2808
2100436,2005,area_plantada_ha,4614
2100436,2005,valor_producao_mil_reais,1573
2100436,2006,area_plantada_ha,3343
2100436,2006,valor_producao_mil_reais,2590
2100436,2007,area_plantada_ha,3218
2100436,2007,valor_producao_mil_reais,2980
2100436,2008,area_plantada_ha,3260
2100436,2008,valor_producao_mil_reais,7320
2100436,2009,area_plantada_ha,3363
2100436,2009,valor_producao_mil_reais,3294
2100436,2010,area_plantada_ha,3289
2100436,2010,valor_producao_mil_reais,2591
2100436,2011,area_plantada_ha,3307
2100436,2011,valor_producao_mil_reais,3632
2100436,2012,area_plantada_ha,3429
2100436,2012,valor_producao_mil_reais,4110
2100436,2013,area_plantada_ha,3194
2100436,2013,valor_producao_mil_reais,4231
2100436,2014,area_plantada_ha,3280
2100436,2014,valor_producao_mil_reais,3638
2100436,2015,area_plantada_ha,3612
2100436,2015,valor_producao_mil_reais,3939
2100436,2016,area_plantada_ha,512
2100436,2016,valor_producao_mil_reais,490
2100436,2017,area_plantada_ha,568
2100436,2017,valor_producao_mil_reais,878
2100436,2018,area_plantada_ha,552
2100436,2018,valor_producao_mil_reais,458
2100436,2019,area_plantada_ha,572
2100436,2019,valor_producao_mil_reais,621
2100436,2020,area_plantada_ha,638
2100436,2020,valor_producao_mil_reais,658
2100436,2021,area_plantada_ha,630
2100436,2021,valor_producao_mil_reais,1890
2100436,2022,area_plantada_ha,658
2100436,2022,valor_producao_mil_reais,1481
2100436,2023,area_plantada_ha,522
2100436,2023,valor_producao_mil_reais,2325
2100436,2024,area_plantada_ha,583
2100436,2024,valor_producao_mil_reais,2994
2100477,1997,area_plantada_ha,12052
2100477,1997,valor_producao_mil_reais,2138
2100477,1998,area_plantada_ha,15642
2100477,1998,valor_producao_mil_reais,2875
2100477,1999,area_plantada_ha,15585
2100477,1999,valor_producao_mil_reais,5186
2100477,2000,area_plantada_ha,16597
2100477,2000,valor_producao_mil_reais,5057
2100477,2001,area_plantada_ha,17101
2100477,2001,valor_producao_mil_reais,7031
2100477,2002,area_plantada_ha,20208
2100477,2002,valor_producao_mil_reais,16114
2100477,2003,area_plantada_ha,21671
2100477,2003,valor_producao_mil_reais,16868
2100477,2004,area_plantada_ha,23891
2100477,2004,valor_producao_mil_reais,19862
2100477,2005,area_plantada_ha,25366
2100477,2005,valor_producao_mil_reais,18410
2100477,2006,area_plantada_ha,25751
2100477,2006,valor_producao_mil_reais,20358
2100477,2007,area_plantada_ha,25047
2100477,2007,valor_producao_mil_reais,21675
2100477,2008,area_plantada_ha,21173
2100477,2008,valor_producao_mil_reais,23560
2100477,2009,area_plantada_ha,19151
2100477,2009,valor_producao_mil_reais,14935
2100477,2010,area_plantada_ha,18500
2100477,2010,valor_producao_mil_reais,14360
2100477,2011,area_plantada_ha,19235
2100477,2011,valor_producao_mil_reais,19358
2100477,2012,area_plantada_ha,13118
2100477,2012,valor_producao_mil_reais,12881
2100477,2013,area_plantada_ha,12831
2100477,2013,valor_producao_mil_reais,23011
2100477,2014,area_plantada_ha,9957
2100477,2014,valor_producao_mil_reais,16920
2100477,2015,area_plantada_ha,4037
2100477,2015,valor_producao_mil_reais,8575
2100477,2016,area_plantada_ha,3372
2100477,2016,valor_producao_mil_reais,8850
2100477,2017,area_plantada_ha,3030
2100477,2017,valor_producao_mil_reais,5286
2100477,2018,area_plantada_ha,2651
2100477,2018,valor_producao_mil_reais,3551
2100477,2019,area_plantada_ha,666
2100477,2019,valor_producao_mil_reais,808
