serie,code_muni,ano,value
PIB,2100832,2005,26475.6032599629
PIB,2100832,2006,37308.4393884191
PIB,2100832,2007,38874.2095060585
PIB,2100832,2008,38855.2384123972
PIB,2100832,2009,41141.2736797567
PIB,2100832,2010,46235.338
PIB,2100873,1999,43780.3768263132
PIB,2100873,2000,42792.5282477698
PIB,2100873,2001,43828.0902154189
PIB,2100873,2002,43022.5644685104
PIB,2100873,2003,37446.0036782424
PIB,2100873,2004,36500.6725951134
PIB,2100873,2005,32760.7191831936
PIB,2100873,2006,33351.1219322749
PIB,2100873,2007,36255.5986381592
PIB,2100873,2008,38661.7412783654
PIB,2100873,2009,38735.2069251742
PIB,2100873,2010,45308.626
PIB,2100907,1920,1619.0455727364
PIB,2100907,1939,16453.1271954779
PIB,2100907,1949,8255.195605372
PIB,2100907,1959,11002.1599930683
PIB,2100907,1970,38586.2708327422
PIB,2100907,1975,43987.9885122878
PIB,2100907,1980,57640.2320039993
PIB,2100907,1985,71310.1818410188
PIB,2100907,1996,55514.6676396257
PIB,2100907,1999,75723.1141247665
PIB,2100907,2000,80543.4211496634
PIB,2100907,2001,87758.1092878024
PIB,2100907,2002,93209.5338376702
PIB,2100907,2003,95880.8815969533
PIB,2100907,2004,105257.637127964
PIB,2100907,2005,107219.07600853
PIB,2100907,2006,115415.431597217
PIB,2100907,2007,104328.83945374
PIB,2100907,2008,139896.121791244
PIB,2100907,2009,144305.045747795
PIB,2100907,2010,168861.273
PIB,2100956,1996,54526.9223459042
PIB,2100956,1999,66937.6806891186
PIB,2100956,2000,80614.0093856347
PIB,2100956,2001,82408.2230671572
PIB,2100956,2002,88188.0174880318
PIB,2100956,2003,79062.2908363077
PIB,2100956,2004,82112.2739874983
PIB,2100956,2005,87504.0996454237
PIB,2100956,2006,87296.7108934199
PIB,2100956,2007,95614.314591342
PIB,2100956,2008,107393.21782836
PIB,2100956,2009,105512.987045165
PIB,2100956,2010,115871.242
PIB,2101004,1920,2981.8651676165
PIB,2101004,1939,7916.6557678083
PIB,2101004,1949,15525.5372770952
PIB,2101004,1959,13535.0328512482
PIB,2101004,1970,27533.0604690783
PIB,2101004,1975,42754.425449556
PIB,2101004,1980,69937.8716192008
PIB,2101004,1985,47204.6965921657
PIB,2101004,1996,32574.3657636381
PIB,2101004,1999,60389.1497927478
PIB,2101004,2000,66568.8782905012
PIB,2101004,2001,69120.536895873
PIB,2101004,2002,68493.2161327802
PIB,2101004,2003,69286.4820323256
PIB,2101004,2004,74731.0991768184
PIB,2101004,2005,71407.2986611762
PIB,2101004,2006,75471.1715197562
PIB,2101004,2007,80517.5698851489
PIB,2101004,2008,103417.255584787
PIB,2101004,2009,100577.137085791
PIB,2101004,2010,108964.77
PIB,2101103,1920,2064.0520838231
PIB,2101103,1939,4462.5864948736
PIB,2101103,1949,5418.9559710992
PIB,2101103,1959,5503.235380895
PIB,2101103,1970,9299.1889980829
PIB,2101103,1975,10595.972169107
PIB,2101103,1980,13948.4581986893
PIB,2101103,1985,18032.2600381758
PIB,2101103,1996,10992.4771812551
PIB,2101103,1999,20101.9294276878
PIB,2101103,2000,20748.4174437409
PIB,2101103,2001,22621.7817202898
PIB,2101103,2002,21674.4447507882
PIB,2101103,2003,22893.4784721899
PIB,2101103,2004,23859.0151146633
PIB,2101103,2005,24774.8830854404
