Limiar_km,Outcome,Modelo,Coef,DP,P,F_Stat,N
10 km,Val. Prod. (2000),M4,2.3887777326351523,1.0003268884045993,0.016940474347856282,17.46912039804698,927
10 km,Val. Prod. (2010),M1,3.9041101856481175,0.8962766536892236,1.3250864057345879e-5,45.01066448213833,928
10 km,Val. Prod. (2010),M2,4.514994524057497,1.0602146604846603,2.0574211379464913e-5,37.83473939728721,928
10 km,Val. Prod. (2010),M3,3.2971968692505236,1.194953829314255,0.005793115191329745,19.17806535455944,928
10 km,Val. Prod. (2010),M4,2.869634768530207,1.1755583918520869,0.014643317708800563,17.46912039804698,927
10 km,IDHM (2000),M1,0.07073317985027884,0.01706229461404592,3.3894833964431825e-5,72.34370880223697,1233
10 km,IDHM (2000),M2,0.08951001059106145,0.020596835933059367,1.387603419411576e-5,56.9525301155607,1233
10 km,IDHM (2000),M3,0.08840354734597211,0.024524634723224435,3.1253350538107405e-4,38.557181050904155,1233
10 km,IDHM (2000),M4,0.09852326610786066,0.025842155660618066,1.37567202650013e-4,36.2223414736542,1231
10 km,IDHM (2010),M1,0.04275122341959528,0.012265670512665958,4.913336688938674e-4,72.34370880223697,1233
10 km,IDHM (2010),M2,0.056581181876697,0.014657402497959335,1.1327285179474345e-4,56.9525301155607,1233
10 km,IDHM (2010),M3,0.054772316918892804,0.017229711875978174,0.001478118245517468,38.557181050904155,1233
10 km,IDHM (2010),M4,0.061287438868936776,0.017936622120167632,6.33412028654412e-4,36.2223414736542,1231
10 km,Renda p.c. (2000),M1,0.39006653233100685,0.09769283411934188,6.530163349527385e-5,72.34370880223697,1233
10 km,Renda p.c. (2000),M2,0.5523050084652454,0.12393085717581555,8.328621462272423e-6,56.9525301155607,1233
10 km,Renda p.c. (2000),M3,0.5632857121419811,0.15635288666698846,3.149818878718236e-4,38.557181050904155,1233
10 km,Renda p.c. (2000),M4,0.6082550915950771,0.1613124592363446,1.6281372871396194e-4,36.2223414736542,1231
10 km,Renda p.c. (2010),M1,0.2551901640559826,0.0780979183625485,0.0010847626938534916,72.34370880223697,1233
10 km,Renda p.c. (2010),M2,0.39015123214338004,0.09726530963318375,6.0409269297068136e-5,56.9525301155607,1233
10 km,Renda p.c. (2010),M3,0.35911140184780094,0.11819062366235009,0.002378312754648393,38.557181050904155,1233
10 km,Renda p.c. (2010),M4,0.39737641050410183,0.12206882628416671,0.0011325382426907726,36.2223414736542,1231
10 km,% Pobres (2010),M1,-11.879647181361838,3.1857682976610295,1.9226097887958815e-4,72.34370880223697,1233
10 km,% Pobres (2010),M2,-15.908261837348158,3.8778719102645836,4.0903244077794554e-5,56.9525301155607,1233
10 km,% Pobres (2010),M3,-15.903866419903064,4.733643572241935,7.801258918342935e-4,38.557181050904155,1233
10 km,% Pobres (2010),M4,-17.460450820417687,4.989066538254945,4.6570687443292513e-4,36.2223414736542,1231
25 km,PIB Total (2000),M1,0.9399396381034798,0.19192910044320904,9.71489119372393e-7,174.28863326865428,1233
25 km,PIB Total (2000),M2,1.365902885245044,0.24848124435508867,3.8629361265307693e-8,112.97039666307668,1233
25 km,PIB Total (2000),M3,1.2360022841312552,0.2854105470581895,1.4869562283692517e-5,82.96770990610244,1233
25 km,PIB Total (2000),M4,1.176251156955336,0.2904665749068174,5.132207267233291e-5,79.27914318788379,1231
25 km,PIB Total (2010),M1,1.0230234416547463,0.19703031988565914,2.078087595336342e-7,174.28863326865428,1233
25 km,PIB Total (2010),M2,1.4699787156536686,0.2565100609546715,1.0002504602368845e-8,112.97039666307668,1233
25 km,PIB Total (2010),M3,1.3265208086388678,0.2948408803966055,6.8239354280574815e-6,82.96770990610244,1233
25 km,PIB Total (2010),M4,1.2543660746034733,0.29906024413085414,2.73644109094473e-5,79.27914318788379,1231
25 km,PIB p.c. (2000),M1,0.2961396625501852,0.0690740731622276,1.808769541811195e-5,170.2440337375105,1229
25 km,PIB p.c. (2000),M2,0.6762970500416065,0.09984336213606253,1.2563283746658271e-11,109.75184391832929,1229
25 km,PIB p.c. (2000),M3,0.6650847905137491,0.11627020059305113,1.0642034142804846e-8,80.49897502428104,1229
