Escopo,Outcome,Tratamento,Modelo,Desc_Modelo,Coeficiente,DP,P_Valor,F_Stat,N_Obs
1_PIB,PIB p.c. (2010),Densidade,M4,+ Geografia/Solo (Completa),0.031355123189857025,0.026996778944856224,0.2454632471993956,1.8226173461252555,1146
2_Pop,Pop. Total (1991),Distância,M1,Base (Efeito Fixo UF),-0.0036619213793738716,0.0014226101399136284,0.01005051786090072,524.7018499451293,1143
2_Pop,Pop. Total (1991),Distância,M2,+ Lag Espacial,-0.004274575128164294,0.005235825656400402,0.41426625742959855,51.498012356895,1143
2_Pop,Pop. Total (1991),Distância,M3,+ Clima,-0.004510888139184344,0.0047632534144524475,0.3436294552235166,68.98751149551262,1143
2_Pop,Pop. Total (1991),Distância,M4,+ Geografia/Solo (Completa),-0.003974593718819611,0.004700243855162522,0.3977679097382927,71.39497757704765,1142
2_Pop,Pop. Total (1991),Dummy,M1,Base (Efeito Fixo UF),0.5674316181960448,0.15242484134972026,1.9710540214212813e-4,152.6497574979669,1143
2_Pop,Pop. Total (1991),Dummy,M2,+ Lag Espacial,0.6878360547373252,0.2509721279348698,0.006131087765012255,58.89116022848501,1143
2_Pop,Pop. Total (1991),Dummy,M3,+ Clima,0.6054255198243685,0.2729951043869649,0.02657422538439591,50.697312396590085,1143
2_Pop,Pop. Total (1991),Dummy,M4,+ Geografia/Solo (Completa),0.5718265575313866,0.27415066585722114,0.03699571916863231,49.650112722711356,1142
2_Pop,Pop. Total (1991),Densidade,M1,Base (Efeito Fixo UF),0.045194554498730485,0.019583459947005798,0.02101070156391427,6.402751121150143,1143
2_Pop,Pop. Total (1991),Densidade,M2,+ Lag Espacial,0.05900485752111482,0.03440940506524534,0.08638398181632367,3.179569319981137,1143
2_Pop,Pop. Total (1991),Densidade,M3,+ Clima,0.06831143244271384,0.05249995955669931,0.19319988002867983,1.8880133513557535,1143
2_Pop,Pop. Total (1991),Densidade,M4,+ Geografia/Solo (Completa),0.06822541247559599,0.05277388730679529,0.19608462620679168,1.8809092649397365,1142
2_Pop,Pop. Total (2000),Distância,M1,Base (Efeito Fixo UF),-0.0039666463354761676,0.0015060002682450906,0.008441162718160644,525.2676823529052,1144
