ano_tratamento,ano_outcome,escopo,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia
1953,1949,PIB_Agro,pibag_1949,densidade_buffer_real_future_1953,densidade_buffer_sintetica_future_1953,-1.8667793711912761,5.38891686206695,-0.3464108686351606,0.729093888886464,3.1227386944854962,1235,
1955,1949,PIB_Agro,pibag_1949,densidade_buffer_real_future_1955,densidade_buffer_sintetica_future_1955,-1.7350712039164895,6.043887048203804,-0.287078694568281,0.77410097511048,2.490269240586119,1235,
1956,1949,PIB_Agro,pibag_1949,densidade_buffer_real_future_1956,densidade_buffer_sintetica_future_1956,-1.7408180884075013,6.039968195212706,-0.28821643295858385,0.773230187993472,2.4940487011435803,1235,
1957,1949,PIB_Agro,pibag_1949,densidade_buffer_real_future_1957,densidade_buffer_sintetica_future_1957,-3.1073143255502504,12.294157042772277,-0.2527472452759205,0.8005062540749269,0.6643256252274277,1235,
1958,1949,PIB_Agro,pibag_1949,densidade_buffer_real_future_1958,densidade_buffer_sintetica_future_1958,-3.957007906618723,6.522335927240583,-0.6066856952418306,0.5441726723840044,9.16155749125601,1236,
1961,1959,PIB_Agro,pibag_1959,densidade_buffer_real_future_1961,densidade_buffer_sintetica_future_1961,-1.128601003838872,7.913198735786485,-0.14262260326344522,0.886611853248116,9.19997265523217,1236,
1962,1959,PIB_Agro,pibag_1959,densidade_buffer_real_future_1962,densidade_buffer_sintetica_future_1962,0.5496415832684951,4.59685445286834,0.11956906378132777,0.9048442617850109,82.74247310806686,1236,
1966,1959,PIB_Agro,pibag_1959,densidade_buffer_real_future_1966,densidade_buffer_sintetica_future_1966,-2.264580901929446,6.839642341440306,-0.3310963920158091,0.7406287226437149,56.589984213543985,1235,
1969,1959,PIB_Agro,pibag_1959,densidade_buffer_real_future_1969,densidade_buffer_sintetica_future_1969,-2.4205348402911793,6.871230565725187,-0.35227093853686114,0.7246960727506018,70.99004656613455,1236,
1972,1970,PIB_Agro,pibag_1970,densidade_buffer_real_future_1972,densidade_buffer_sintetica_future_1972,3.304076767000348,7.147287761780095,0.4622839987874559,0.643960921289559,57.68938058683818,1235,
1985,1985,PIB_Agro,pibag_1985,densidade_buffer_real_future_1985,densidade_buffer_sintetica_future_1985,14.501276891420234,11.33966794608913,1.2788096583041035,0.20120990763847352,259.6025633696394,1234,
1996,1996,PIB_Agro,pibag_1996,densidade_buffer_real_future_1996,densidade_buffer_sintetica_future_1996,-18883.260511033863,26079.263970295,-0.7240718347167472,0.46916148628593235,0.10531358747849434,1233,
1920,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1920,densidade_buffer_sintetica_future_1920,5.438416268703804,4.650285756905789,1.1694800175726023,0.24243594327482348,3.867772805366704,1254,
1921,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1921,densidade_buffer_sintetica_future_1921,5.560326520580687,4.796987028104411,1.1591289465666783,0.24662751300869437,3.716455844901842,1255,
1922,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1922,densidade_buffer_sintetica_future_1922,5.4786683351392185,4.710736385239529,1.1630173898726117,0.24504693228966423,3.8716328887329663,1255,
1923,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1923,densidade_buffer_sintetica_future_1923,7.4028347853604775,6.77795727148676,1.092192601523534,0.27496198432627117,2.5334510248288993,1251,
1924,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1924,densidade_buffer_sintetica_future_1924,7.57274333473063,7.043201776596979,1.0751847774535157,0.2825025261184872,2.3995684051453265,1251,
1925,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1925,densidade_buffer_sintetica_future_1925,4.836430042489583,5.299932641977896,0.912545567878135,0.3616601249167325,3.1929827791043794,1251,
1926,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1926,densidade_buffer_sintetica_future_1926,6.4706293100973,5.821778730573653,1.1114522913961231,0.2665914485797536,3.245499022402053,1246,
1927,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1927,densidade_buffer_sintetica_future_1927,6.018201084505442,6.187489136574238,0.972640266781539,0.33092397904301885,2.760428767599318,1245,
1929,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1929,densidade_buffer_sintetica_future_1929,6.004055714043745,6.055544265013089,0.9914972876563999,0.32163845725620593,2.9040358769819763,1245,
1931,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1931,densidade_buffer_sintetica_future_1931,6.348973553214161,6.525268628428423,0.9729827099460392,0.3307538212733875,2.609421972358775,1245,
1932,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1932,densidade_buffer_sintetica_future_1932,5.973922585915812,6.129837289137902,0.9745646261282707,0.3299686701754905,2.837513908603549,1244,
1933,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1933,densidade_buffer_sintetica_future_1933,4.159221059769338,5.564027964111479,0.7475197979946755,0.4548936730997778,3.2100917729397516,1241,
1934,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1934,densidade_buffer_sintetica_future_1934,2.8858727270358946,7.161868671853734,0.40294968523751684,0.6870557815239948,1.8336802928174931,1240,
1936,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1936,densidade_buffer_sintetica_future_1936,2.2061451248495603,6.341091495621054,0.34791252048216786,0.7279658505832312,2.3190801399911374,1240,
1937,1920,PIB_Industria,pibi_1920,densidade_buffer_real_future_1937,densidade_buffer_sintetica_future_1937,2.1896805730208406,6.3900637131703135,0.34266959944511577,0.7319060647571582,2.291896026976808,1239,
1940,1939,PIB_Industria,pibi_1939,densidade_buffer_real_future_1940,densidade_buffer_sintetica_future_1940,15.283635474925877,15.353340359764081,0.995459953130403,0.3197103301046074,1.8412779660781535,1238,
1941,1939,PIB_Industria,pibi_1939,densidade_buffer_real_future_1941,densidade_buffer_sintetica_future_1941,16.225991279949973,17.822804596159944,0.91040617049945,0.3627886202792735,1.4881146611409508,1237,
1944,1939,PIB_Industria,pibi_1939,densidade_buffer_real_future_1944,densidade_buffer_sintetica_future_1944,12.739225890992877,11.722443381109672,1.086738103723471,0.277367760947315,2.6218183927308814,1237,
1947,1939,PIB_Industria,pibi_1939,densidade_buffer_real_future_1947,densidade_buffer_sintetica_future_1947,12.838657829021365,12.109189560765843,1.0602408827275296,0.28924556800585444,2.4937648524197744,1236,
1948,1939,PIB_Industria,pibi_1939,densidade_buffer_real_future_1948,densidade_buffer_sintetica_future_1948,8.953386559270106,7.121131094601809,1.2572983758236445,0.2088872329017138,6.394668442793452,1235,
1949,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1949,densidade_buffer_sintetica_future_1949,15.839538653259474,11.908416233089298,1.3301129506413263,0.18373170935646108,3.773231179122293,1231,
1950,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1950,densidade_buffer_sintetica_future_1950,16.033035502893185,18.449028808310175,0.8690449600073945,0.3849947407334684,1.3921031291772448,1232,
1951,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1951,densidade_buffer_sintetica_future_1951,13.589154996420104,13.524804200039341,1.0047579835854907,0.3152137868392895,2.4457658157136524,1234,
1953,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1953,densidade_buffer_sintetica_future_1953,12.657458690935131,12.412416174084258,1.0197417258182573,0.3080541365210506,3.135441882205476,1235,
1955,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1955,densidade_buffer_sintetica_future_1955,13.503775947858195,14.102929437470436,0.9575156713171707,0.3384976816618702,2.5010378414164363,1235,
1956,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1956,densidade_buffer_sintetica_future_1956,13.480928125740157,14.085262937340888,0.9570945310507053,0.3387100978927423,2.504801297674222,1235,
1957,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1957,densidade_buffer_sintetica_future_1957,26.77400091239305,34.63993358871381,0.7729229862356435,0.43971841798283007,0.6709376730742195,1235,
1958,1949,PIB_Industria,pibi_1949,densidade_buffer_real_future_1958,densidade_buffer_sintetica_future_1958,16.383808557373442,14.253885522547309,1.1494275390002917,0.2506059377952513,9.153832454308345,1236,
1961,1959,PIB_Industria,pibi_1959,densidade_buffer_real_future_1961,densidade_buffer_sintetica_future_1961,12.814589068435907,13.007501337209007,0.9851691524934725,0.3247368057339671,9.19997265523217,1236,
1962,1959,PIB_Industria,pibi_1959,densidade_buffer_real_future_1962,densidade_buffer_sintetica_future_1962,1.2379543348506017,6.095942885280778,0.20307840118380335,0.8391077004657338,82.74247310806686,1236,
1966,1959,PIB_Industria,pibi_1959,densidade_buffer_real_future_1966,densidade_buffer_sintetica_future_1966,-10.841427974181455,6.340015769132115,-1.7100001591424336,0.08752094504607673,56.589984213543985,1235,*
1969,1959,PIB_Industria,pibi_1959,densidade_buffer_real_future_1969,densidade_buffer_sintetica_future_1969,-7.661972667815267,6.48090104332106,-1.1822387992964911,0.23734189524227375,70.99004656613455,1236,
1972,1970,PIB_Industria,pibi_1970,densidade_buffer_real_future_1972,densidade_buffer_sintetica_future_1972,-0.31793445148368704,11.331569879007555,-0.02805740553854595,0.9776209928083298,57.79231801145564,1235,
1985,1985,PIB_Industria,pibi_1985,densidade_buffer_real_future_1985,densidade_buffer_sintetica_future_1985,-13.525144390301714,35.8451289867477,-0.37732168282340656,0.7060005104502045,261.1035497372101,1234,
1996,1996,PIB_Industria,pibi_1996,densidade_buffer_real_future_1996,densidade_buffer_sintetica_future_1996,26699.139604652533,39372.834510137654,0.6781106805449346,0.49783074454498666,0.10597645012733165,1233,
1920,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1920,densidade_buffer_sintetica_future_1920,15.965808220263026,8.19230988633264,1.9488774767784405,0.05153623262391996,3.867772805366704,1254,*
1921,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1921,densidade_buffer_sintetica_future_1921,16.25558935571675,8.527967456249703,1.9061504912057181,0.05686243895784448,3.716455844901842,1255,*
1922,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1922,densidade_buffer_sintetica_future_1922,16.038928202379623,8.30926534408829,1.9302462417800483,0.053804898743200845,3.8716328887329663,1255,*
1923,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1923,densidade_buffer_sintetica_future_1923,21.20432260660411,13.446105283598252,1.576986209714529,0.11505541928305829,2.5334510248288993,1251,
1924,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1924,densidade_buffer_sintetica_future_1924,21.77636809273231,14.186631969589202,1.534992106612242,0.12504252132884727,2.3995684051453265,1251,
1925,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1925,densidade_buffer_sintetica_future_1925,18.35623384865198,10.326263398550616,1.7776259562804142,0.07571193665043241,3.1929827791043794,1251,*
1926,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1926,densidade_buffer_sintetica_future_1926,19.2045284695777,11.072598908017746,1.7344192297683219,0.08309486582943458,3.245499022402053,1246,*
1927,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1927,densidade_buffer_sintetica_future_1927,19.563638795703802,12.378610928573192,1.5804389449340892,0.11426431988199241,2.760428767599318,1245,
1929,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1929,densidade_buffer_sintetica_future_1929,19.09429605226727,11.813587035023119,1.6162996044858702,0.10628682109713677,2.9040358769819763,1245,
1931,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1931,densidade_buffer_sintetica_future_1931,20.042800112133932,13.078373989058566,1.5325146787285515,0.12565346731976368,2.609421972358775,1245,
1932,1920,PIB_Servicos,pibse_1920,densidade_buffer_real_future_1932,densidade_buffer_sintetica_future_1932,19.3715664733586,12.125618458995275,1.5975734795603758,0.11039583013354633,2.837513908603549,1244,
