grupo,ano_tratamento,tipo_outcome,outcome_var,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,n_observacoes,significancia,coeficiente_sig
PB,1950,contemporaneo,log(pib_1949),1.0844029244469766,1.9779493462225222,0.5482460541863541,0.5843379662471757,1.4310455567519385,159,,+1.0844
PB,1950,contemporaneo,log(pop_total_1950),0.016711838610149243,1.167703700667581,0.014311711610226992,0.9886003138511658,1.4310455567519385,159,,+0.0167
PE,1950,persistencia,log(pib_2010),2.960180813994768,1.946886163272145,1.5204693884205185,0.1306809849910495,6.812477244232484,147,,+2.9602
PE,1950,persistencia,log(pop_total_2010),2.309544237702603,1.644204995360965,1.4046571104082866,0.16237011770178472,6.812477244232484,147,,+2.3095
PE,1950,persistencia,adh_idhm_2010,0.17305032510707097,0.09058620189478171,1.9103386772753044,0.05816408584663403,6.812477244232484,147,*,+0.1731*
PE,1950,persistencia,adh_gini_2010,-0.15559919137907352,0.10381850652244666,-1.4987616041792253,0.1362195771481222,6.812477244232484,147,,-0.1556
PE,1950,persistencia,log(valor_producao_mil_reais_2010),1.775339313702574,2.289013861063489,0.7755913338496522,0.4393174103667786,6.812477244232484,147,,+1.7753
PE,1950,contemporaneo,log(pib_1949),0.8562264444124636,0.9679257634371083,0.8845992913464769,0.3779114385277106,6.812477244232484,147,,+0.8562
PE,1950,contemporaneo,log(pop_total_1950),0.5818224190813055,0.6880818792323775,0.84557148886174,0.3992555636771661,6.812477244232484,147,,+0.5818
AL,1950,persistencia,log(pib_2010),1.2780008151707989,3.859199314504169,0.3311569864680588,0.7414027191324168,1.3074570365779512,88,,+1.2780
AL,1950,persistencia,log(pop_total_2010),0.01911478233094499,3.2856159803508738,0.005817716508946279,0.9953728260912215,1.3074570365779512,88,,+0.0191
AL,1950,persistencia,adh_idhm_2010,0.05006191952005068,0.11571683008765053,0.4326243596729268,0.6664664336071486,1.3074570365779512,88,,+0.0501
AL,1950,persistencia,adh_gini_2010,-0.11342588843919721,0.15483156527854736,-0.7325759978925492,0.4659850953773481,1.3074570365779512,88,,-0.1134
AL,1950,persistencia,log(valor_producao_mil_reais_2010),2.8023349945886196,6.985682258425327,0.4011540878786414,0.6893896839751519,1.3074570365779512,88,,+2.8023
AL,1950,contemporaneo,log(pib_1949),3.6553752681003573,3.226929966000915,1.1327718006320442,0.26073641249556373,1.3074570365779512,88,,+3.6554
AL,1950,contemporaneo,log(pop_total_1950),-0.4283204565321057,1.4359621253957158,-0.2982811656080909,0.7662716990947624,1.3074570365779512,88,,-0.4283
SE,1950,persistencia,log(pib_2010),4.937500253681719,2.8563028674351107,1.7286333007519865,0.08885205807895703,5.269448788109472,70,*,+4.9375*
SE,1950,persistencia,log(pop_total_2010),2.0504786616477872,1.8039532757617416,1.1366584097262427,0.260055358846977,5.269448788109472,70,,+2.0505
SE,1950,persistencia,adh_idhm_2010,0.10247707659267746,0.05942750029235857,1.7244049655215665,0.08961757293906217,5.269448788109472,70,*,+0.1025*
SE,1950,persistencia,adh_gini_2010,0.02065941127041171,0.0653488422483706,0.316140432785201,0.7529577921610981,5.269448788109472,70,,+0.0207
SE,1950,persistencia,log(valor_producao_mil_reais_2010),-0.5552527495550237,2.3163205555131317,-0.2397132591313637,0.8113432999539639,5.269448788109472,70,,-0.5553
SE,1950,contemporaneo,log(pib_1949),1.9008621180370824,1.5515900539287613,1.2251058926447316,0.2251692925051201,5.269448788109472,70,,+1.9009
SE,1950,contemporaneo,log(pop_total_1950),0.3550766791502724,1.0004431317830809,0.35491940308233455,0.7238544681474348,5.269448788109472,70,,+0.3551
BA,1950,persistencia,log(pib_2010),0.4688053885568877,1.5859153904748227,0.29560554829884556,0.7677414319415089,22.971358966564715,301,,+0.4688
BA,1950,persistencia,log(pop_total_2010),0.3768533146970938,1.1809729597786307,0.3191041010521813,0.7498757287099602,22.971358966564715,301,,+0.3769
BA,1950,persistencia,adh_idhm_2010,0.14224580867779224,0.07808871675566338,1.8215923450615017,0.0695399074937976,22.971358966564715,301,*,+0.1422*
BA,1950,persistencia,adh_gini_2010,0.006673471774893525,0.04970234412775036,0.13426875315459252,0.8932825579436192,22.971358966564715,301,,+0.0067
BA,1950,persistencia,log(valor_producao_mil_reais_2010),-0.11542215230772968,0.35349372075454266,-0.32651825345400115,0.7442661902149037,22.971358966564715,301,,-0.1154
BA,1950,contemporaneo,log(pib_1949),-0.5335660033979366,0.6138654255990945,-0.8691905117106234,0.3854568125904654,22.971358966564715,301,,-0.5336
BA,1950,contemporaneo,log(pop_total_1950),-0.6286174458839895,0.7222518332535562,-0.8703577020389575,0.3848198893729171,22.971358966564715,301,,-0.6286
Nordeste,1985,persistencia,log(pib_2010),4.4056089996950085,1.3754706467607367,3.2029829281128706,0.0013954269967308812,35.15276611885742,1232,***,+4.4056***
Nordeste,1985,persistencia,log(pop_total_2010),2.9873641415988295,1.0120444354531086,2.9518112416292652,0.003219813840426749,35.15276611885742,1232,***,+2.9874***
Nordeste,1985,persistencia,adh_idhm_2010,0.05040201549912937,0.0304781584329886,1.653709347628294,0.09844489763469859,35.15276611885742,1232,*,+0.0504*
Nordeste,1985,persistencia,adh_gini_2010,-0.0958996024908971,0.04311832487225252,-2.224103157416729,0.02632473248238557,35.15276611885742,1232,**,-0.0959**
Nordeste,1985,persistencia,log(valor_producao_mil_reais_2010),6.689511885934096,1.9650926637266624,3.4041712176808496,6.852898277181055e-4,35.15276611885742,1232,***,+6.6895***
Nordeste,1985,contemporaneo,log(pib_1985),3.6649445935201035,1.2385339336690782,2.9590990556576338,0.0031452738849209916,35.047205174330024,1230,***,+3.6649***
Nordeste,1985,contemporaneo,log(pop_total_1991),2.5832836114953395,0.9203578260910785,2.806825278453924,0.005083176188870952,35.15276611885742,1232,***,+2.5833***
Nordeste,1985,contemporaneo,adh_idhm_1991,0.10316472282371889,0.046280326861919414,2.2291269275499723,0.025987745774977453,35.15276611885742,1232,**,+0.1032**
Nordeste,1985,contemporaneo,log(valor_producao_mil_reais_1985),3.8597892518915176,1.2213388390531486,3.160293547107571,0.0016150253420835836,35.15276611885742,1232,***,+3.8598***
Semiarido,1985,persistencia,log(pib_2010),7.97906625686505,2.919501277964603,2.7330237246643163,0.0064017362604152075,11.953553496694159,895,***,+7.9791***
Semiarido,1985,persistencia,log(pop_total_2010),6.020226634855318,2.2022749789073752,2.7336398463021,0.006389873736019068,11.953553496694159,895,***,+6.0202***
