ano_tratamento,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_1estagio,n_observacoes
1883,densidade_buffer_real_20km_1883,densidade_buffer_sintetica_20km_1883,0.6261512708278799,0.047131247060946374,13.285268476308106,8.141006590100869e-38,176.4983584875859,0.4650157673072358,1293
1884,densidade_buffer_real_20km_1884,densidade_buffer_sintetica_20km_1884,0.6188234903211024,0.042216762568346666,14.658241245269826,4.5655377881019526e-45,214.86403640452951,0.4813537521570911,1290
1885,densidade_buffer_real_20km_1885,densidade_buffer_sintetica_20km_1885,0.6079933714729091,0.04286963572965142,14.18237783281143,1.7268787573844127e-42,201.139840992621,0.4632680251674488,1288
1886,densidade_buffer_real_20km_1886,densidade_buffer_sintetica_20km_1886,0.6102022048745224,0.04297343883729622,14.199520014789552,1.4057546693568644e-42,201.6263686504091,0.46521860998184317,1287
1887,densidade_buffer_real_20km_1887,densidade_buffer_sintetica_20km_1887,0.4959580778867269,0.04056982753176743,12.224801239255365,1.440351742695127e-32,149.4457653392995,0.4493780067892197,1287
1888,densidade_buffer_real_20km_1888,densidade_buffer_sintetica_20km_1888,0.4931055525749882,0.04055396355478485,12.159244358664125,2.968362143399077e-32,147.84722337370536,0.4513374773326648,1286
1891,densidade_buffer_real_20km_1891,densidade_buffer_sintetica_20km_1891,0.490269979523079,0.04064018664176208,12.063674407914132,8.434788839752805e-32,145.53224022016238,0.4448503818869245,1286
1892,densidade_buffer_real_20km_1892,densidade_buffer_sintetica_20km_1892,0.4931964496681471,0.04067950443766705,12.123954224267136,4.368396681352327e-32,146.99026603212494,0.44678395331018117,1286
1894,densidade_buffer_real_20km_1894,densidade_buffer_sintetica_20km_1894,0.519381148271874,0.038424033580097376,13.517090734089395,5.479693454770335e-39,182.71174191360538,0.47497337921990035,1284
1895,densidade_buffer_real_20km_1895,densidade_buffer_sintetica_20km_1895,0.5399516399945598,0.037523508474022936,14.389689609338147,1.3747816436361214e-43,207.06316705309422,0.4963649852038583,1282
1896,densidade_buffer_real_20km_1896,densidade_buffer_sintetica_20km_1896,0.5414594433571469,0.037124951149841615,14.584785342120428,1.2112329610229244e-44,212.7159634757309,0.4966135299987938,1281
1900,densidade_buffer_real_20km_1900,densidade_buffer_sintetica_20km_1900,0.54112037773999,0.037149184982111644,14.566143994829345,1.5300179032131082e-44,212.17255087810298,0.49659685765008676,1281
1901,densidade_buffer_real_20km_1901,densidade_buffer_sintetica_20km_1901,0.5824407314116932,0.03519182719935057,16.550454402732505,7.9140491083751585e-56,273.91754093692776,0.5469128646260529,1280
1902,densidade_buffer_real_20km_1902,densidade_buffer_sintetica_20km_1902,0.593710135788689,0.034856272717612206,17.03309302743373,1.0381596918520985e-58,290.1262580812115,0.556725286511569,1279
1904,densidade_buffer_real_20km_1904,densidade_buffer_sintetica_20km_1904,0.6042142441067343,0.033732134161386824,17.912126200374786,4.265234033882639e-64,320.84426501815284,0.5728233931801339,1279
1905,densidade_buffer_real_20km_1905,densidade_buffer_sintetica_20km_1905,0.6039868344972134,0.03371405686992101,17.914985337646446,4.2449059228892915e-64,320.94669964808713,0.5721561978449383,1276
1906,densidade_buffer_real_20km_1906,densidade_buffer_sintetica_20km_1906,0.6038641205996076,0.03353005552395629,18.009636762103288,1.1062454143007447e-64,324.3470163029022,0.5709737447527168,1275
1907,densidade_buffer_real_20km_1907,densidade_buffer_sintetica_20km_1907,0.613724384190866,0.03276599485460031,18.730528003629342,3.2339893473831863e-69,350.832679294743,0.5865388318831505,1273
1908,densidade_buffer_real_20km_1908,densidade_buffer_sintetica_20km_1908,0.6094979796304522,0.03265084502848363,18.6671425838671,8.192034089458563e-69,348.4622122464245,0.5867101462089324,1273
1910,densidade_buffer_real_20km_1910,densidade_buffer_sintetica_20km_1910,0.5936151251422447,0.03322126454557384,17.86852888540432,8.656224213670219e-64,319.28432452852854,0.5699120721379377,1272
1911,densidade_buffer_real_20km_1911,densidade_buffer_sintetica_20km_1911,0.5820728497548177,0.033792956489711715,17.22467964387875,7.985111690216142e-60,296.689588834251,0.5646820419393759,1269
1912,densidade_buffer_real_20km_1912,densidade_buffer_sintetica_20km_1912,0.5960119158703664,0.03249640340493172,18.340857861824624,1.004468366991172e-66,336.3870671076541,0.5983403266838985,1269
1913,densidade_buffer_real_20km_1913,densidade_buffer_sintetica_20km_1913,0.5973239418147351,0.030858394753759063,19.356935011727114,3.4866253763733226e-73,374.69093304822695,0.5961489099628758,1264
1914,densidade_buffer_real_20km_1914,densidade_buffer_sintetica_20km_1914,0.5933370924616741,0.030922780151998817,19.187702061236607,4.328141045374034e-72,368.1679103907835,0.5920831264930486,1264
1915,densidade_buffer_real_20km_1915,densidade_buffer_sintetica_20km_1915,0.5951083202269596,0.030979134421904884,19.20997249704199,3.20764410211244e-72,369.0230433371096,0.5945648722201972,1262
1916,densidade_buffer_real_20km_1916,densidade_buffer_sintetica_20km_1916,0.5593209128518175,0.03136536831809128,17.832435671708847,1.6746882838968896e-63,317.99576198563415,0.5707920985352367,1260
1917,densidade_buffer_real_20km_1917,densidade_buffer_sintetica_20km_1917,0.5551641515705722,0.03144721384618933,17.653842222268768,2.190006261088325e-62,311.6581452087595,0.5665326627338401,1257
1918,densidade_buffer_real_20km_1918,densidade_buffer_sintetica_20km_1918,0.5544698624830745,0.03152683565901748,17.587234839551108,5.613824598933618e-62,309.3108293015203,0.5598178154152731,1257
1919,densidade_buffer_real_20km_1919,densidade_buffer_sintetica_20km_1919,0.5248420156025018,0.030360443902258918,17.2870336577474,3.889204935217618e-60,298.8415326840915,0.5491997320743547,1255
