Outcome,Modelo,Coef,DP,P,F_Stat,N
IDHM (2000),M2,0.051367733813587474,0.014409020942299,3.6389719076668214e-4,1,1147
IDHM (2000),M2,0.051367733813587474,0.014409020942299,3.6389719076668214e-4,1136,1147
IDHM (2000),M3,0.057870650141648786,0.015831267102868484,2.5671576845542887e-4,51.19071243877514,1147
IDHM (2000),M3,0.057870650141648786,0.015831267102868484,2.5671576845542887e-4,1.501867660726048e-12,1147
IDHM (2000),M3,0.057870650141648786,0.015831267102868484,2.5671576845542887e-4,1,1147
IDHM (2000),M3,0.057870650141648786,0.015831267102868484,2.5671576845542887e-4,1133,1147
IDHM (2000),M4,0.058085120024917704,0.015975981047670375,2.771429589396579e-4,50.21578243295201,1146
IDHM (2000),M4,0.058085120024917704,0.015975981047670375,2.771429589396579e-4,2.4195958924039067e-12,1146
IDHM (2000),M4,0.058085120024917704,0.015975981047670375,2.771429589396579e-4,1,1146
IDHM (2000),M4,0.058085120024917704,0.015975981047670375,2.771429589396579e-4,1130,1146
IDHM (2010),M1,0.01984942862680062,0.006854731781538519,0.0037828190288469177,155.01299472130762,1147
IDHM (2010),M1,0.01984942862680062,0.006854731781538519,0.0037828190288469177,1.889132762411624e-33,1147
IDHM (2010),M1,0.01984942862680062,0.006854731781538519,0.0037828190288469177,1,1147
IDHM (2010),M1,0.01984942862680062,0.006854731781538519,0.0037828190288469177,1137,1147
IDHM (2010),M2,0.028135759747200343,0.010174732927826469,0.005687782253781526,59.79712440336832,1147
IDHM (2010),M2,0.028135759747200343,0.010174732927826469,0.005687782253781526,2.3072951954810944e-14,1147
IDHM (2010),M2,0.028135759747200343,0.010174732927826469,0.005687782253781526,1,1147
IDHM (2010),M2,0.028135759747200343,0.010174732927826469,0.005687782253781526,1136,1147
IDHM (2010),M3,0.03315123210158848,0.011052637891810508,0.0027051592333198204,51.19071243877514,1147
IDHM (2010),M3,0.03315123210158848,0.011052637891810508,0.0027051592333198204,1.501867660726048e-12,1147
IDHM (2010),M3,0.03315123210158848,0.011052637891810508,0.0027051592333198204,1,1147
IDHM (2010),M3,0.03315123210158848,0.011052637891810508,0.0027051592333198204,1133,1147
IDHM (2010),M4,0.03301483632240061,0.011152712208530912,0.003073876996908753,50.21578243295201,1146
IDHM (2010),M4,0.03301483632240061,0.011152712208530912,0.003073876996908753,2.4195958924039067e-12,1146
IDHM (2010),M4,0.03301483632240061,0.011152712208530912,0.003073876996908753,1,1146
IDHM (2010),M4,0.03301483632240061,0.011152712208530912,0.003073876996908753,1130,1146
Renda p.c. (2000),M1,0.247577792237974,0.05501544078090322,6.79051999075142e-6,155.01299472130762,1147
Renda p.c. (2000),M1,0.247577792237974,0.05501544078090322,6.79051999075142e-6,1.889132762411624e-33,1147
Renda p.c. (2000),M1,0.247577792237974,0.05501544078090322,6.79051999075142e-6,1,1147
Renda p.c. (2000),M1,0.247577792237974,0.05501544078090322,6.79051999075142e-6,1137,1147
Renda p.c. (2000),M2,0.4627558423082893,0.09655882455162546,1.6473554282914193e-6,59.79712440336832,1147
Renda p.c. (2000),M2,0.4627558423082893,0.09655882455162546,1.6473554282914193e-6,2.3072951954810944e-14,1147
Renda p.c. (2000),M2,0.4627558423082893,0.09655882455162546,1.6473554282914193e-6,1,1147
Renda p.c. (2000),M2,0.4627558423082893,0.09655882455162546,1.6473554282914193e-6,1136,1147
Renda p.c. (2000),M3,0.5052574186348091,0.10992977872423867,4.303000887828645e-6,51.19071243877514,1147
Renda p.c. (2000),M3,0.5052574186348091,0.10992977872423867,4.303000887828645e-6,1.501867660726048e-12,1147
Renda p.c. (2000),M3,0.5052574186348091,0.10992977872423867,4.303000887828645e-6,1,1147
Renda p.c. (2000),M3,0.5052574186348091,0.10992977872423867,4.303000887828645e-6,1133,1147
Renda p.c. (2000),M4,0.48990467661408726,0.11008867758285769,8.583375449289221e-6,50.21578243295201,1146
Renda p.c. (2000),M4,0.48990467661408726,0.11008867758285769,8.583375449289221e-6,2.4195958924039067e-12,1146
Renda p.c. (2000),M4,0.48990467661408726,0.11008867758285769,8.583375449289221e-6,1,1146
Renda p.c. (2000),M4,0.48990467661408726,0.11008867758285769,8.583375449289221e-6,1130,1146
Renda p.c. (2010),M1,0.15551844257459502,0.04449388960004712,4.735710504464308e-4,155.01299472130762,1147
Renda p.c. (2010),M1,0.15551844257459502,0.04449388960004712,4.735710504464308e-4,1.889132762411624e-33,1147
Renda p.c. (2010),M1,0.15551844257459502,0.04449388960004712,4.735710504464308e-4,1,1147
Renda p.c. (2010),M1,0.15551844257459502,0.04449388960004712,4.735710504464308e-4,1137,1147
Renda p.c. (2010),M2,0.33305190175647054,0.07449122160397492,7.784663445864481e-6,59.79712440336832,1147
Renda p.c. (2010),M2,0.33305190175647054,0.07449122160397492,7.784663445864481e-6,2.3072951954810944e-14,1147
Renda p.c. (2010),M2,0.33305190175647054,0.07449122160397492,7.784663445864481e-6,1,1147
Renda p.c. (2010),M2,0.33305190175647054,0.07449122160397492,7.784663445864481e-6,1136,1147
Renda p.c. (2010),M3,0.35706648928814844,0.08338352488079594,1.8503898209454306e-5,51.19071243877514,1147
Renda p.c. (2010),M3,0.35706648928814844,0.08338352488079594,1.8503898209454306e-5,1.501867660726048e-12,1147
Renda p.c. (2010),M3,0.35706648928814844,0.08338352488079594,1.8503898209454306e-5,1,1147
Renda p.c. (2010),M3,0.35706648928814844,0.08338352488079594,1.8503898209454306e-5,1133,1147
Renda p.c. (2010),M4,0.34779491075656066,0.08368433219652827,3.238199792265917e-5,50.21578243295201,1146
Renda p.c. (2010),M4,0.34779491075656066,0.08368433219652827,3.238199792265917e-5,2.4195958924039067e-12,1146
Renda p.c. (2010),M4,0.34779491075656066,0.08368433219652827,3.238199792265917e-5,1,1146
Renda p.c. (2010),M4,0.34779491075656066,0.08368433219652827,3.238199792265917e-5,1130,1146
% Pobres (2010),M1,-7.86472966463964,1.7911556862347522,1.1289863698804581e-5,155.01299472130762,1147
% Pobres (2010),M1,-7.86472966463964,1.7911556862347522,1.1289863698804581e-5,1.889132762411624e-33,1147
% Pobres (2010),M1,-7.86472966463964,1.7911556862347522,1.1289863698804581e-5,1,1147
% Pobres (2010),M1,-7.86472966463964,1.7911556862347522,1.1289863698804581e-5,1137,1147
% Pobres (2010),M2,-16.511979487877017,3.183028049375775,2.1312820397412224e-7,59.79712440336832,1147
% Pobres (2010),M2,-16.511979487877017,3.183028049375775,2.1312820397412224e-7,2.3072951954810944e-14,1147
% Pobres (2010),M2,-16.511979487877017,3.183028049375775,2.1312820397412224e-7,1,1147
% Pobres (2010),M2,-16.511979487877017,3.183028049375775,2.1312820397412224e-7,1136,1147
% Pobres (2010),M3,-18.52717369337052,3.6818838984781435,4.854347217531085e-7,51.19071243877514,1147
% Pobres (2010),M3,-18.52717369337052,3.6818838984781435,4.854347217531085e-7,1.501867660726048e-12,1147
% Pobres (2010),M3,-18.52717369337052,3.6818838984781435,4.854347217531085e-7,1,1147
% Pobres (2010),M3,-18.52717369337052,3.6818838984781435,4.854347217531085e-7,1133,1147
% Pobres (2010),M4,-18.537696933034038,3.730551530260325,6.724454424400506e-7,50.21578243295201,1146
% Pobres (2010),M4,-18.537696933034038,3.730551530260325,6.724454424400506e-7,2.4195958924039067e-12,1146
% Pobres (2010),M4,-18.537696933034038,3.730551530260325,6.724454424400506e-7,1,1146
% Pobres (2010),M4,-18.537696933034038,3.730551530260325,6.724454424400506e-7,1130,1146
