ano,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_estatistica,n_observacoes,n_pontas_excluidas,significancia,coeficiente_sig,instrumento_forte
1884,densidade_buffer_real_1884,densidade_buffer_sintetica_1884,0.3738528855302102,0.09799448136091501,3.815040197552604,1.4264972705901728e-4,14.55453170894221,1290,33,***,+0.3739***,TRUE
1885,densidade_buffer_real_1885,densidade_buffer_sintetica_1885,0.34893928979148686,0.10063382364407014,3.4674155980164643,5.429250094736166e-4,12.022970929367874,1288,35,***,+0.3489***,TRUE
1886,densidade_buffer_real_1886,densidade_buffer_sintetica_1886,0.3498137164141936,0.10101998299467012,3.4628170194074377,5.522141454324608e-4,11.99110170989781,1287,36,***,+0.3498***,TRUE
1887,densidade_buffer_real_1887,densidade_buffer_sintetica_1887,0.24057668147760186,0.07255065325182813,3.315982292296449,9.388564796493633e-4,10.995738562823611,1287,36,***,+0.2406***,TRUE
1888,densidade_buffer_real_1888,densidade_buffer_sintetica_1888,0.23619504770159225,0.07257720005400754,3.254397352416878,0.0011661018984141772,10.591102127417985,1286,37,***,+0.2362***,TRUE
1891,densidade_buffer_real_1891,densidade_buffer_sintetica_1891,0.2339730618291989,0.07269811499781073,3.21841992514173,0.001321388210287148,10.358226814549298,1286,37,***,+0.2340***,TRUE
1892,densidade_buffer_real_1892,densidade_buffer_sintetica_1892,0.23230144713299122,0.07266875873125005,3.1967168724060464,0.0014240821934987276,10.218998762325494,1286,37,***,+0.2323***,TRUE
1894,densidade_buffer_real_1894,densidade_buffer_sintetica_1894,0.298976870556167,0.06601617664370586,4.528842561873389,6.48572919933423e-6,20.51041495023592,1284,39,***,+0.2990***,TRUE
1895,densidade_buffer_real_1895,densidade_buffer_sintetica_1895,0.3086150729353997,0.06577720131984342,4.691824321237848,3.000101891436409e-6,22.013215461358996,1282,41,***,+0.3086***,TRUE
1896,densidade_buffer_real_1896,densidade_buffer_sintetica_1896,0.3110733542715187,0.06557084924372247,4.744079996818096,2.331156647135816e-6,22.506295016209585,1281,42,***,+0.3111***,TRUE
1900,densidade_buffer_real_1900,densidade_buffer_sintetica_1900,0.31099483306205433,0.06557703876550047,4.7424348356770585,2.3498408642998403e-6,22.49068817064329,1281,42,***,+0.3110***,TRUE
1901,densidade_buffer_real_1901,densidade_buffer_sintetica_1901,0.31164471979683545,0.06363999953283654,4.896994375935454,1.098205974104417e-6,23.980553917943464,1280,43,***,+0.3116***,TRUE
1902,densidade_buffer_real_1902,densidade_buffer_sintetica_1902,0.314677854867194,0.0635798998902715,4.94932919696754,8.447190455536296e-7,24.49585949995535,1279,44,***,+0.3147***,TRUE
1904,densidade_buffer_real_1904,densidade_buffer_sintetica_1904,0.2893232454177038,0.06061964986141093,4.772763387435537,2.0278048708888903e-6,22.779270352445145,1279,44,***,+0.2893***,TRUE
1905,densidade_buffer_real_1905,densidade_buffer_sintetica_1905,0.28696589100101616,0.058996180940079995,4.864143516212951,1.293770986389599e-6,23.65989214631649,1276,47,***,+0.2870***,TRUE
1906,densidade_buffer_real_1906,densidade_buffer_sintetica_1906,0.2787750254537841,0.05932078255276351,4.69944955978665,2.8937114320261605e-6,22.084826164978942,1275,48,***,+0.2788***,TRUE
1907,densidade_buffer_real_1907,densidade_buffer_sintetica_1907,0.3003436193644555,0.05642518736818034,5.3228643691456705,1.207558914598082e-7,28.332885092320538,1273,50,***,+0.3003***,TRUE
1908,densidade_buffer_real_1908,densidade_buffer_sintetica_1908,0.30093212252436946,0.05633685278554128,5.341656618092145,1.0912961788847172e-7,28.533295425607612,1273,50,***,+0.3009***,TRUE
1910,densidade_buffer_real_1910,densidade_buffer_sintetica_1910,0.2915440986353415,0.05705288915973828,5.110067218840892,3.71634122745828e-7,26.11278698107229,1272,51,***,+0.2915***,TRUE
1911,densidade_buffer_real_1911,densidade_buffer_sintetica_1911,0.2912806887779384,0.05710611121340625,5.100692072857471,3.9026249137945073e-7,26.01705962211104,1269,54,***,+0.2913***,TRUE
1912,densidade_buffer_real_1912,densidade_buffer_sintetica_1912,0.3051116001738246,0.05432200618597863,5.616721870124501,2.3923850607323922e-8,31.547564566334877,1269,54,***,+0.3051***,TRUE
1913,densidade_buffer_real_1913,densidade_buffer_sintetica_1913,0.28411366133775023,0.048742721077983976,5.828842851903854,7.088655138803071e-9,33.97540899219065,1264,59,***,+0.2841***,TRUE
1914,densidade_buffer_real_1914,densidade_buffer_sintetica_1914,0.2763919152025689,0.04902443609691566,5.637839763341161,2.1249198491262266e-8,31.785237197110725,1264,59,***,+0.2764***,TRUE
1915,densidade_buffer_real_1915,densidade_buffer_sintetica_1915,0.27804217355108424,0.05018180722651059,5.540696697033205,3.668584265258902e-8,30.69931988851467,1262,61,***,+0.2780***,TRUE
1916,densidade_buffer_real_1916,densidade_buffer_sintetica_1916,0.28129802990567015,0.04886519779192199,5.756612939611842,1.0785658228116286e-8,33.13859253650649,1260,63,***,+0.2813***,TRUE
