ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1860,2009,PIB_Indústria,pibi (2009),pibi_2009,densidade_buffer_real_10km_1860,dens_placebo_10km,47.32563939997946,31.858840940403905,1.4854790068636898,0.13765961471645302,4.35832938386492,0.1741242936776748,1316,
1860,2009,PIB_Indústria,pibi (2009),pibi_2009,densidade_buffer_real_20km_1860,dens_placebo_20km,-21.687087608355494,33.34595174636475,-0.6503664304834167,0.5155705614220059,4.14069662040988,0.17418113031285132,1316,
1860,2009,PIB_Indústria,pibi (2009),pibi_2009,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.2210211848105643,0.9048827170318785,-1.3493695501397762,0.1774534259772866,193.0440423226096,0.17315661845135633,1316,
1860,2010,PIB_Indústria,pibi (2010),pibi_2010,densidade_buffer_real_5km_1860,dens_placebo_5km,237.48522244860942,175.48990694172073,1.3532699776715762,0.1762048432371688,2.2703790099053633,0.1715647432970424,1316,
1860,2010,PIB_Indústria,pibi (2010),pibi_2010,densidade_buffer_real_10km_1860,dens_placebo_10km,53.44706351155064,33.59526760722518,1.5909104858583123,0.11187303700356974,4.35832938386492,0.1708989293344877,1316,
1860,2010,PIB_Indústria,pibi (2010),pibi_2010,densidade_buffer_real_20km_1860,dens_placebo_20km,-22.77825511751148,35.030493082117395,-0.6502407792010064,0.5156516831574312,4.14069662040988,0.17057372704634022,1316,
1860,2010,PIB_Indústria,pibi (2010),pibi_2010,densidade_buffer_real_50km_1860,dens_placebo_50km,-0.9639936306047561,0.8955262006279643,-1.0764549713104774,0.2819237055944902,193.0440423226096,0.16884455040218938,1316,
1860,2011,PIB_Indústria,pibi (2011),pibi_2011,densidade_buffer_real_5km_1860,dens_placebo_5km,249.47401112421775,177.17567080056568,1.4080602037343675,0.15935288309812182,2.2838371023597626,0.16808731068597527,1314,
1860,2011,PIB_Indústria,pibi (2011),pibi_2011,densidade_buffer_real_10km_1860,dens_placebo_10km,56.8217697677596,33.70335384860226,1.6859381420320012,0.0920482329162583,4.3913429053124835,0.1674118122360031,1314,*
1860,2011,PIB_Indústria,pibi (2011),pibi_2011,densidade_buffer_real_20km_1860,dens_placebo_20km,-22.57746812451864,33.64548038679358,-0.6710401475908389,0.5023144361248424,4.369753124334174,0.16675376096325312,1314,
1860,2011,PIB_Indústria,pibi (2011),pibi_2011,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.2576881768468653,0.9112883425096263,-1.3801209981280758,0.16778722668489532,196.49505527130393,0.16546362497354272,1314,
1860,2012,PIB_Indústria,pibi (2012),pibi_2012,densidade_buffer_real_5km_1860,dens_placebo_5km,233.28358587850238,171.6303527550937,1.3592210359864736,0.17431302190894152,2.2824644372011207,0.1567535801348009,1313,
1860,2012,PIB_Indústria,pibi (2012),pibi_2012,densidade_buffer_real_10km_1860,dens_placebo_10km,54.56293862590631,33.60051755327443,1.6238719698110442,0.10464631093478176,4.388806375473813,0.15632584453437426,1313,
1860,2012,PIB_Indústria,pibi (2012),pibi_2012,densidade_buffer_real_20km_1860,dens_placebo_20km,-22.77443068290672,33.531832973282505,-0.6791883611329249,0.4971397961865721,4.3649848062030205,0.15597720183513442,1313,
1860,2012,PIB_Indústria,pibi (2012),pibi_2012,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.1844600001806564,0.9212400686818467,-1.2857234942846516,0.1987692582957499,196.33420757049822,0.15449353379166064,1313,
1860,2013,PIB_Indústria,pibi (2013),pibi_2013,densidade_buffer_real_5km_1860,dens_placebo_5km,279.50290388112654,188.40064137198164,1.4835560104557763,0.13816970091130146,2.2838371023597626,0.17232245014899783,1314,
1860,2013,PIB_Indústria,pibi (2013),pibi_2013,densidade_buffer_real_10km_1860,dens_placebo_10km,64.72858973088157,36.671205597625146,1.7651066736424241,0.07778113507034246,4.3913429053124835,0.17163430355595488,1314,*
1860,2013,PIB_Indústria,pibi (2013),pibi_2013,densidade_buffer_real_20km_1860,dens_placebo_20km,-26.67392013629444,38.483122369209845,-0.6931329500860905,0.48835021715364446,4.369753124334174,0.17105925858718019,1314,
1860,2013,PIB_Indústria,pibi (2013),pibi_2013,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.259665934402984,0.944975955130342,-1.333013742375314,0.18276139236105748,196.49505527130393,0.16876650368858392,1314,
1860,2014,PIB_Indústria,pibi (2014),pibi_2014,densidade_buffer_real_5km_1860,dens_placebo_5km,293.21231857122143,189.32321327492747,1.5487393938609653,0.12168833654927176,2.2838371023597626,0.16655331328632716,1314,
1860,2014,PIB_Indústria,pibi (2014),pibi_2014,densidade_buffer_real_10km_1860,dens_placebo_10km,68.91842564261059,36.92269422521539,1.866560040885222,0.062188563120283376,4.3913429053124835,0.1659111663328977,1314,*
1860,2014,PIB_Indústria,pibi (2014),pibi_2014,densidade_buffer_real_20km_1860,dens_placebo_20km,-28.618939301618482,40.5164395634818,-0.7063537568936152,0.48009503500833506,4.369753124334174,0.16529925925376399,1314,
1860,2014,PIB_Indústria,pibi (2014),pibi_2014,densidade_buffer_real_50km_1860,dens_placebo_50km,-1.3519633203595998,0.9181164903273713,-1.472540069373476,0.1411177089947053,196.49505527130393,0.1625525722538006,1314,
