ano_tratamento,tratamento_tipo,variavel_endogena,variavel_tratamento,coeficiente,erro_padrao,t_estatistica,p_valor,r2,n_observacoes,significancia,coeficiente_sig
1919,dummy,log(pib_2010),dummy_atendida_sintetica_1919,0.32260234290289963,0.08451932551524288,3.8169062629909294,1.351354804373095e-4,0.3117524837276392,1321,***,+0.3226***
1919,densidade,log(pib_2010),densidade_sintetica_1919,0.0032274934476922757,7.109387745281162e-4,4.539762864719984,5.6317530310323605e-6,0.3307525916516316,1321,***,+0.0032***
1920,dummy,log(pib_2010),dummy_atendida_sintetica_1920,0.32260234290289963,0.08451932551524288,3.8169062629909294,1.351354804373095e-4,0.3117524837276392,1321,***,+0.3226***
1920,densidade,log(pib_2010),densidade_sintetica_1920,0.0031450113665914855,6.963418403277833e-4,4.516476225399669,6.287717289499284e-6,0.33022028031802175,1321,***,+0.0031***
1921,dummy,log(pib_2010),dummy_atendida_sintetica_1921,0.3124423983352859,0.0837992589275594,3.7284625464931374,1.926515338674939e-4,0.311286527406203,1321,***,+0.3124***
1921,densidade,log(pib_2010),densidade_sintetica_1921,0.003037777907192503,6.926329553358718e-4,4.385840846569916,1.1553857993007455e-5,0.32939570799152695,1321,***,+0.0030***
1923,dummy,log(pib_2010),dummy_atendida_sintetica_1923,0.32927849816187266,0.0837067590402603,3.9337145761849426,8.364310044273182e-5,0.31226899292456345,1321,***,+0.3293***
1923,densidade,log(pib_2010),densidade_sintetica_1923,0.002793521302496422,7.045085049550986e-4,3.9652059312959826,7.333260907138595e-5,0.32761845579715154,1321,***,+0.0028***
1925,dummy,log(pib_2010),dummy_atendida_sintetica_1925,0.41876629049327313,0.07966028046811333,5.25690203489678,1.4650230140134113e-7,0.31899401773989433,1321,***,+0.4188***
1925,densidade,log(pib_2010),densidade_sintetica_1925,0.0027394299811031885,6.736907223899342e-4,4.066302073130819,4.776501567493874e-5,0.3278990141613283,1321,***,+0.0027***
1926,dummy,log(pib_2010),dummy_atendida_sintetica_1926,0.38813633957208893,0.07340590386311549,5.287535731402077,1.239751497017494e-7,0.3180575483918504,1321,***,+0.3881***
1926,densidade,log(pib_2010),densidade_sintetica_1926,0.0028224676782592907,6.771063335709258e-4,4.168426048201544,3.067102375853281e-5,0.3313725977091845,1321,***,+0.0028***
1927,dummy,log(pib_2010),dummy_atendida_sintetica_1927,0.36476789631719225,0.07257541677511269,5.026053070387289,5.006773862170633e-7,0.31660406905510174,1321,***,+0.3648***
