ano_tratamento,ano_outcome,escopo,outcome_var,outcome_coluna,variavel_endogena,variavel_instrumento,coeficiente,erro_padrao,t_estatistica,p_valor,F_stat_1estagio,R2_2estagio,n_observacoes,significancia
1863,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1863,densidade_buffer_sintetica_10km_1863,0.2967808158674765,0.06490735696986889,4.572375609212485,5.282785058154369e-6,261.0707756955056,0.26861955121154,1314,***
1863,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_20km_1863,densidade_buffer_sintetica_20km_1863,0.1280556681397212,0.02633573705329703,4.862429628628511,1.3013033189649508e-6,785.256621334588,0.27251120605736645,1314,***
1863,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_50km_1863,densidade_buffer_sintetica_50km_1863,0.07237760672876697,0.01324898178250738,5.462880689014689,5.6102863312188136e-8,1022.1062938643597,0.2769317937608067,1314,***
1873,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_5km_1873,densidade_buffer_sintetica_5km_1873,0.6440156229373737,0.14646095873905418,4.397182897626665,1.1864854637663143e-5,75.8095839274493,0.15487270057854374,1312,***
1873,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_10km_1873,densidade_buffer_sintetica_10km_1873,0.3152072468211267,0.044238309305903285,7.1252100671728105,1.7202603297865299e-12,255.5818851891169,0.16710767737175203,1312,***
1873,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_20km_1873,densidade_buffer_sintetica_20km_1873,0.14274443280782922,0.02898826256277616,4.924214843808108,9.561713925289118e-7,743.6737471207344,0.17513994898126495,1312,***
1873,1991,IDH_Educação,adh_idhm_e (1991),adh_idhm_e_1991,densidade_buffer_real_50km_1873,densidade_buffer_sintetica_50km_1873,0.0730239585415504,0.014218087814669317,5.135990120008187,3.236357580609231e-7,811.6567106857481,0.17546110771700374,1312,***
1873,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_5km_1873,densidade_buffer_sintetica_5km_1873,0.9355060273621347,0.3952310546218054,2.366985125339697,0.018080044197005384,75.8095839274493,0.19442545842397108,1312,**
1873,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_10km_1873,densidade_buffer_sintetica_10km_1873,0.3901699682671876,0.08149235308544506,4.787810800580182,1.8800765796268066e-6,255.5818851891169,0.20386185752640884,1312,***
1873,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_20km_1873,densidade_buffer_sintetica_20km_1873,0.17303326032521052,0.032698624396456454,5.291759623501536,1.4213378853957486e-7,743.6737471207344,0.21059105455051796,1312,***
1873,2000,IDH_Educação,adh_idhm_e (2000),adh_idhm_e_2000,densidade_buffer_real_50km_1873,densidade_buffer_sintetica_50km_1873,0.08657735355681123,0.016800396470859916,5.153292287296827,2.9568898489201425e-7,811.6567106857481,0.2097881102185064,1312,***
1873,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_5km_1873,densidade_buffer_sintetica_5km_1873,0.7449044090906577,0.329391256249741,2.261457749582396,0.023896212735323535,75.8095839274493,0.2584323497809702,1312,**
1873,2010,IDH_Educação,adh_idhm_e (2010),adh_idhm_e_2010,densidade_buffer_real_10km_1873,densidade_buffer_sintetica_10km_1873,0.29864989391246644,0.06564092163054683,4.549751686811874,5.874623514982261e-6,255.5818851891169,0.2647157760205693,1312,***
