escopo,especificacao,tratamento,ano_trat,outcome,transf,n_obs,coef_ss,se_ss,t_stat,p_value,f_stat,erro
1_PIB,Toda Amostra [SEM Pontas],Densidade (1972),1972,PIB Total (2000),log,1233,0.03487195433365874,0.014473111498243645,2.409430365950719,0.01597744472140783,17.90051236766802,NA
1_PIB,Toda Amostra [SEM Pontas],Dist. real (1985),1985,PIB Total (2010),log,1233,0.00562643091990812,0.007274405773968082,0.7734557426041117,0.4392527114032392,14.818851911658244,NA
1_PIB,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,PIB Total (2010),log,1233,1.0160638567894915,0.31181944075602025,3.2585006705354838,0.0011200261165049685,62.6747625583899,NA
1_PIB,Toda Amostra [SEM Pontas],Densidade (1985),1985,PIB Total (2010),log,1233,0.037438951997366604,0.015392681704762497,2.432256621390605,0.015005071931990521,17.641409908308912,NA
1_PIB,Toda Amostra [SEM Pontas],Dist. real (1972),1972,PIB per capita (2000),log,1229,-8.748630110783084e-4,0.006901629137172383,-0.12676181140569692,0.8991289219306204,2.1919264273599266,NA
1_PIB,Toda Amostra [SEM Pontas],Dummy ≤25km (1972),1972,PIB per capita (2000),log,1229,0.6606783298393535,0.13537503224419326,4.88035584469966,1.0589459462639894e-6,59.018969910783774,NA
1_PIB,Toda Amostra [SEM Pontas],Densidade (1972),1972,PIB per capita (2000),log,1229,0.017621115938126347,0.010180844464687809,1.7308108378676317,0.08348550825481915,9.560566068973213,NA
1_PIB,Toda Amostra [SEM Pontas],Dist. real (1985),1985,PIB per capita (2010),log,1233,9.803460627095554e-4,0.00285168888161214,0.34377735559825107,0.731013731072117,14.818851911658244,NA
1_PIB,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,PIB per capita (2010),log,1233,0.6727384854862523,0.13720126247714567,4.9032966121453425,9.424151485859511e-7,62.6747625583899,NA
1_PIB,Toda Amostra [SEM Pontas],Densidade (1985),1985,PIB per capita (2010),log,1233,0.014133379302146401,0.0065739810172323505,2.14989657942404,0.03156339626788762,17.641409908308912,NA
2_Pop,Toda Amostra [SEM Pontas],Dist. real (1969),1969,Pop. Total (1991),log,1228,0.005566036800364174,0.01190187414963267,0.46766053231506904,0.640027369497882,3.1286752198929233,NA
2_Pop,Toda Amostra [SEM Pontas],Dummy ≤25km (1969),1969,Pop. Total (1991),log,1228,0.2187717159879575,0.23413351624022766,0.9343887176045803,0.35010341545361356,62.212262661308664,NA
2_Pop,Toda Amostra [SEM Pontas],Densidade (1969),1969,Pop. Total (1991),log,1228,0.010232556706957973,0.0074481025905441525,1.3738474440388166,0.16948904852882318,12.105229038109819,NA
2_Pop,Toda Amostra [SEM Pontas],Dist. real (1972),1972,Pop. Total (2000),log,1229,0.00896124027581191,0.017145649174113264,0.5226538922388376,0.6012151298574038,2.1919264273599266,NA
2_Pop,Toda Amostra [SEM Pontas],Dummy ≤25km (1972),1972,Pop. Total (2000),log,1229,0.26006450533707526,0.2480026315991285,1.0486360715617065,0.29434564738228186,59.018969910783774,NA
2_Pop,Toda Amostra [SEM Pontas],Densidade (1972),1972,Pop. Total (2000),log,1229,0.020785779319821566,0.014226058380187732,1.4611060045113684,0.14398635265444848,9.560566068973213,NA
2_Pop,Toda Amostra [SEM Pontas],Dist. real (1985),1985,Pop. Total (2010),log,1233,0.0046460848571980365,0.006253337026600726,0.7429768837717065,0.4574956758161939,14.818851911658244,NA
2_Pop,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,Pop. Total (2010),log,1233,0.3433253713032311,0.2484507948582767,1.381864652512275,0.16701326307838027,62.6747625583899,NA
2_Pop,Toda Amostra [SEM Pontas],Densidade (1985),1985,Pop. Total (2010),log,1233,0.023305572695220288,0.010285286161410044,2.2659138821690545,0.023456656485461025,17.641409908308912,NA
2_Pop,Toda Amostra [SEM Pontas],Dist. real (1985),1985,Taxa de Urbanização (2010),nivel,1233,-3.8479131290720394e-4,0.001016922736653826,-0.3783879532218503,0.7051424160547961,14.818851911658244,NA
2_Pop,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,Taxa de Urbanização (2010),nivel,1233,0.0418335933507798,0.05100478067160537,0.8201896528116782,0.4121079996850405,62.6747625583899,NA
2_Pop,Toda Amostra [SEM Pontas],Densidade (1985),1985,Taxa de Urbanização (2010),nivel,1233,0.0024998529681153543,0.00129283448772386,1.9336218145886162,0.05315964313179267,17.641409908308912,NA
3_PAM,Toda Amostra [SEM Pontas],Dist. real (1972),1972,Valor Prod. Agrícola (2000),log,928,0.23219284669974627,7.570044891668193,0.030672585172553512,0.9755306547349032,0.004609114495118117,NA
3_PAM,Toda Amostra [SEM Pontas],Dummy ≤25km (1972),1972,Valor Prod. Agrícola (2000),log,928,1.3096850552976582,0.4719538476295547,2.775027816545431,0.005519698657499905,40.94496975503179,NA
3_PAM,Toda Amostra [SEM Pontas],Densidade (1972),1972,Valor Prod. Agrícola (2000),log,928,-0.004467334032246242,0.009565889714025671,-0.46700664191185065,0.6404951260865106,17.75927714546471,NA
3_PAM,Toda Amostra [SEM Pontas],Dist. real (1985),1985,Valor Prod. Agrícola (2010),log,928,0.004177357239465412,0.01298473951311805,0.32171282567857196,0.7476702605231658,10.10533410900467,NA
3_PAM,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,Valor Prod. Agrícola (2010),log,928,1.4527309015417145,0.5455547933159495,2.662850586852764,0.007748180954943562,43.703974844944455,NA
3_PAM,Toda Amostra [SEM Pontas],Densidade (1985),1985,Valor Prod. Agrícola (2010),log,928,-0.009891029812095924,0.010872961909230436,-0.9096904683993314,0.36298577233680174,17.612144304175803,NA
4_Social,Toda Amostra [SEM Pontas],Dist. real (1972),1972,IDHM (2000),nivel,1233,-4.579357774318503e-4,0.0010069743442070048,-0.45476409609271234,0.649278962966239,2.197724075092615,NA
4_Social,Toda Amostra [SEM Pontas],Dummy ≤25km (1972),1972,IDHM (2000),nivel,1233,0.05144595426010062,0.014901948072278456,3.4522972439961475,5.558350407839363e-4,59.40977693628177,NA
4_Social,Toda Amostra [SEM Pontas],Densidade (1972),1972,IDHM (2000),nivel,1233,0.0017263088700255125,7.546142527740734e-4,2.2876706392429593,0.022156708774285327,17.90051236766802,NA
4_Social,Toda Amostra [SEM Pontas],Dist. real (1985),1985,IDHM (2010),nivel,1233,-6.189180965160006e-5,2.4962267263248206e-4,-0.24794145899849007,0.8041797015598331,14.818851911658244,NA
4_Social,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,IDHM (2010),nivel,1233,0.03018281223060521,0.01014715820687615,2.974508883694357,0.0029345795845867606,62.6747625583899,NA
4_Social,Toda Amostra [SEM Pontas],Densidade (1985),1985,IDHM (2010),nivel,1233,0.0011019601194878494,4.928259215065798e-4,2.2360027575642385,0.025351590526439427,17.641409908308912,NA
4_Social,Toda Amostra [SEM Pontas],Dist. real (1972),1972,Renda per capita (2000),log,1233,-7.161777566005827e-4,0.004688861542761394,-0.15274022277458993,0.8786031397212666,2.197724075092615,NA
4_Social,Toda Amostra [SEM Pontas],Dummy ≤25km (1972),1972,Renda per capita (2000),log,1233,0.2615763544473678,0.08951678413752656,2.922092845130612,0.0034768787866954476,59.40977693628177,NA
4_Social,Toda Amostra [SEM Pontas],Densidade (1972),1972,Renda per capita (2000),log,1233,0.010439633590604774,0.004360897292005345,2.3939187033235863,0.016669443098629833,17.90051236766802,NA
4_Social,Toda Amostra [SEM Pontas],Dist. real (1985),1985,Renda per capita (2010),log,1233,-6.606699481906046e-4,0.001969859201965464,-0.3353894265800362,0.7373313429214741,14.818851911658244,NA
4_Social,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,Renda per capita (2010),log,1233,0.23334946165768025,0.07276658615759107,3.2068216193668038,0.0013421018857711076,62.6747625583899,NA
4_Social,Toda Amostra [SEM Pontas],Densidade (1985),1985,Renda per capita (2010),log,1233,0.007205347164093988,0.003205931604688724,2.2475049541156955,0.02460777432515404,17.641409908308912,NA
4_Social,Toda Amostra [SEM Pontas],Dist. real (1985),1985,% Pobres (2010),nivel,1233,0.06521422181655621,0.06700403082548136,0.9732880397361933,0.3304101650650795,14.818851911658244,NA
4_Social,Toda Amostra [SEM Pontas],Dummy ≤25km (1985),1985,% Pobres (2010),nivel,1233,-7.397401063024551,2.796488520073016,-2.64524635446435,0.008163146161182189,62.6747625583899,NA
4_Social,Toda Amostra [SEM Pontas],Densidade (1985),1985,% Pobres (2010),nivel,1233,-0.21032372299455518,0.09470989912574086,-2.2207153099732535,0.02637024981888092,17.641409908308912,NA
1_PIB,Dist ≤200km [COM Pontas],Dist. real (1972),1972,PIB Total (2000),log,1235,-0.010080426291259492,0.006300667057262455,-1.5998982646829916,0.10962115436859698,51.796271008859456,NA
1_PIB,Dist ≤200km [COM Pontas],Dummy ≤25km (1972),1972,PIB Total (2000),log,1235,1.1911252344457652,0.3474601563092954,3.4280915748667087,6.078403856193404e-4,50.63813230902087,NA
1_PIB,Dist ≤200km [COM Pontas],Densidade (1972),1972,PIB Total (2000),log,1235,0.01662527620174489,0.005528664592554465,3.007105228292271,0.0026374844673617837,72.94625009492974,NA
1_PIB,Dist ≤200km [COM Pontas],Dist. real (1985),1985,PIB Total (2010),log,1244,-0.007883107834933567,0.005688871397367581,-1.3857068097164804,0.16583644798494257,64.7033454608798,NA
1_PIB,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,PIB Total (2010),log,1244,1.1347321689058811,0.3521827081182598,3.221998533002501,0.001272997869221193,51.74992756046213,NA
1_PIB,Dist ≤200km [COM Pontas],Densidade (1985),1985,PIB Total (2010),log,1244,0.017229617915366428,0.005627930752116129,3.0614481013093506,0.0022026917385571387,72.82715115944748,NA
1_PIB,Dist ≤200km [COM Pontas],Dist. real (1972),1972,PIB per capita (2000),log,1228,-0.004209966567445385,0.0017581658706826168,-2.3945218353094546,0.016642052511337546,51.49161612621099,NA
1_PIB,Dist ≤200km [COM Pontas],Dummy ≤25km (1972),1972,PIB per capita (2000),log,1228,0.4969214743876495,0.11656241218050761,4.2631365042284894,2.0157729138992053e-5,50.00679261582511,NA
1_PIB,Dist ≤200km [COM Pontas],Densidade (1972),1972,PIB per capita (2000),log,1228,0.007196672361711487,0.0027902283720058966,2.5792413387789455,0.009901758232786051,46.77373586309053,NA
1_PIB,Dist ≤200km [COM Pontas],Dist. real (1985),1985,PIB per capita (2010),log,1244,-0.00410587255291231,0.0016594008997682967,-2.4743101883852274,0.013349373603537495,64.7033454608798,NA
1_PIB,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,PIB per capita (2010),log,1244,0.4897893485370012,0.11828735599136389,4.1406737383897605,3.462872091430924e-5,51.74992756046213,NA
1_PIB,Dist ≤200km [COM Pontas],Densidade (1985),1985,PIB per capita (2010),log,1244,0.00627828017904269,0.0019845075515379945,3.1636464039539782,0.001558059653654853,72.82715115944748,NA
2_Pop,Dist ≤200km [COM Pontas],Dist. real (1969),1969,Pop. Total (1991),log,1227,-0.004798010412956398,0.004663002923499798,-1.0289529068867216,0.3035018049749869,60.883375713151345,NA
2_Pop,Dist ≤200km [COM Pontas],Dummy ≤25km (1969),1969,Pop. Total (1991),log,1227,0.5795881542446051,0.25789533197901815,2.2473774526937125,0.024615914732213362,53.497378339787794,NA
2_Pop,Dist ≤200km [COM Pontas],Densidade (1969),1969,Pop. Total (1991),log,1227,0.00548593591976966,0.003342325191571925,1.6413531315274488,0.10072413290425208,53.596527031217036,NA
2_Pop,Dist ≤200km [COM Pontas],Dist. real (1972),1972,Pop. Total (2000),log,1228,-0.0043513890201346914,0.005211936486919741,-0.8348891109965091,0.4037801462642734,51.49161612621099,NA
2_Pop,Dist ≤200km [COM Pontas],Dummy ≤25km (1972),1972,Pop. Total (2000),log,1228,0.6130157525168206,0.27382511333208853,2.2387126770705277,0.025174617149869682,50.00679261582511,NA
2_Pop,Dist ≤200km [COM Pontas],Densidade (1972),1972,Pop. Total (2000),log,1228,0.00872732719049638,0.00467996096643319,1.8648290558602398,0.062205369159672674,46.77373586309053,NA
2_Pop,Dist ≤200km [COM Pontas],Dist. real (1985),1985,Pop. Total (2010),log,1244,-0.0037772352820212686,0.0048004116363770215,-0.7868565381763871,0.431365852112767,64.7033454608798,NA
2_Pop,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,Pop. Total (2010),log,1244,0.64494282036888,0.2835218730946962,2.274755077374469,0.022920626445777303,51.74992756046213,NA
2_Pop,Dist ≤200km [COM Pontas],Densidade (1985),1985,Pop. Total (2010),log,1244,0.010951337736323667,0.0042144636889753714,2.5985127751773742,0.009362856103938055,72.82715115944748,NA
2_Pop,Dist ≤200km [COM Pontas],Dist. real (1985),1985,Taxa de Urbanização (2010),nivel,1244,-0.001349098567702944,7.825104282511018e-4,-1.7240646501263346,0.0846961727715525,64.7033454608798,NA
2_Pop,Dist ≤200km [COM Pontas],Dummy ≤25km (1985),1985,Taxa de Urbanização (2010),nivel,1244,0.12936015080256494,0.05723792423702186,2.2600426644908613,0.023818603041572795,51.74992756046213,NA
2_Pop,Dist ≤200km [COM Pontas],Densidade (1985),1985,Taxa de Urbanização (2010),nivel,1244,0.0015806493610564317,5.00342489491745e-4,3.159134781181742,0.0015823829167265213,72.82715115944748,NA
3_PAM,Dist ≤200km [COM Pontas],Dist. real (1972),1972,Valor Prod. Agrícola (2000),log,938,-0.002018913721223474,0.007414131726811428,-0.27230615743210457,0.7853866221101073,54.402434793089874,NA
3_PAM,Dist ≤200km [COM Pontas],Dummy ≤25km (1972),1972,Valor Prod. Agrícola (2000),log,938,0.9711777912585857,0.4296182011273454,2.2605601641414483,0.023786506884636127,41.82151946596286,NA
3_PAM,Dist ≤200km [COM Pontas],Densidade (1972),1972,Valor Prod. Agrícola (2000),log,938,-0.0027898524324671595,0.005934187888323243,-0.4701321368601723,0.6382606152311145,38.21197599483891,NA
