ano_tratamento,tratamento_tipo,variavel_endogena,variavel_tratamento,coeficiente,erro_padrao,t_estatistica,p_valor,r2,n_observacoes,significancia,coeficiente_sig
1917,dummy,log(pib_2010),dummy_atendida_sintetica_1917,0.2004871335380333,0.08242040027882232,2.4324940531688717,0.014995237751711743,0.315666599303816,1164,**,+0.2005**
1917,densidade,log(pib_2010),densidade_sintetica_1917,0.0015378412925661454,6.304761833410213e-4,2.439174283185151,0.014720866678401556,0.3162340086786932,1164,**,+0.0015**
1919,dummy,log(pib_2010),dummy_atendida_sintetica_1919,0.21075843634476302,0.08082715085762313,2.6075202961937087,0.00912006636278151,0.31637922140269903,1164,***,+0.2108***
1919,densidade,log(pib_2010),densidade_sintetica_1919,0.001528542089115358,6.274855245017066e-4,2.435979842450056,0.014851512118231103,0.31619211121018986,1164,**,+0.0015**
1920,dummy,log(pib_2010),dummy_atendida_sintetica_1920,0.21075843634476302,0.08082715085762313,2.6075202961937087,0.00912006636278151,0.31637922140269903,1164,***,+0.2108***
1920,densidade,log(pib_2010),densidade_sintetica_1920,0.0015798661560281861,6.156749212512539e-4,2.5660719667083054,0.010285748511612569,0.31668171810622725,1164,**,+0.0016**
1921,dummy,log(pib_2010),dummy_atendida_sintetica_1921,0.21075843634476302,0.08082715085762313,2.6075202961937087,0.00912006636278151,0.31637922140269903,1164,***,+0.2108***
1921,densidade,log(pib_2010),densidade_sintetica_1921,0.0015953243956104085,6.092871952407525e-4,2.618345515992725,0.008835728902770068,0.3168439023916184,1164,***,+0.0016***
1923,dummy,log(pib_2010),dummy_atendida_sintetica_1923,0.21075843634476302,0.08082715085762313,2.6075202961937087,0.00912006636278151,0.31637922140269903,1164,***,+0.2108***
1923,densidade,log(pib_2010),densidade_sintetica_1923,0.001563381765839761,5.738993990499903e-4,2.724139053687318,0.006446935650768815,0.3169356449697853,1164,***,+0.0016***
1925,dummy,log(pib_2010),dummy_atendida_sintetica_1925,0.3154179182459892,0.07800980903402469,4.043310990652686,5.270164315818171e-5,0.322937221666287,1164,***,+0.3154***
1925,densidade,log(pib_2010),densidade_sintetica_1925,0.001587372723483003,5.330882830003634e-4,2.9776920148175923,0.002904276617124779,0.3176959160700512,1164,***,+0.0016***
1926,dummy,log(pib_2010),dummy_atendida_sintetica_1926,0.273790065213823,0.07184132188471974,3.811038800944678,1.3838404199595367e-4,0.32110452423743907,1164,***,+0.2738***
1926,densidade,log(pib_2010),densidade_sintetica_1926,0.0016992582869716957,5.22519488501766e-4,3.252047673559553,0.0011457680233364353,0.31916459422863364,1164,***,+0.0017***
1927,dummy,log(pib_2010),dummy_atendida_sintetica_1927,0.24325538815583142,0.07108610560001347,3.421982201762159,6.216638288814025e-4,0.3192973334324496,1164,***,+0.2433***
1927,densidade,log(pib_2010),densidade_sintetica_1927,0.0016533448239376644,4.950136550540772e-4,3.339998416320549,8.377886764010523e-4,0.3191319733078596,1164,***,+0.0017***
1931,dummy,log(pib_2010),dummy_atendida_sintetica_1931,0.22821247437333886,0.07108181405637108,3.2105606392143575,0.0013247631430062246,0.31834052870980156,1164,***,+0.2282***
1931,densidade,log(pib_2010),densidade_sintetica_1931,0.0016478498899653552,4.948870828951108e-4,3.329749243656477,8.692422775840036e-4,0.3190778804782629,1164,***,+0.0016***
1933,dummy,log(pib_2010),dummy_atendida_sintetica_1933,0.2828568328602138,0.07174201222116347,3.942694442250014,8.057128030269922e-5,0.32196906067328923,1164,***,+0.2829***
1933,densidade,log(pib_2010),densidade_sintetica_1933,0.0018389984250679534,4.903048389857519e-4,3.7507246081277086,1.76324276671469e-4,0.3218370385618389,1164,***,+0.0018***
1934,dummy,log(pib_2010),dummy_atendida_sintetica_1934,0.2777497436476544,0.07201406224494804,3.8568820448278385,1.1484254529903204e-4,0.32153929937246095,1164,***,+0.2777***
1934,densidade,log(pib_2010),densidade_sintetica_1934,0.0018394362336639812,4.877311411475625e-4,3.7714143684490753,1.6232486316170025e-4,0.32198940925502717,1164,***,+0.0018***
1937,dummy,log(pib_2010),dummy_atendida_sintetica_1937,0.2777497436476544,0.07201406224494804,3.8568820448278385,1.1484254529903204e-4,0.32153929937246095,1164,***,+0.2777***
1937,densidade,log(pib_2010),densidade_sintetica_1937,0.0018394362336639812,4.877311411475625e-4,3.7714143684490753,1.6232486316170025e-4,0.32198940925502717,1164,***,+0.0018***
1941,dummy,log(pib_2010),dummy_atendida_sintetica_1941,0.2777497436476544,0.07201406224494804,3.8568820448278385,1.1484254529903204e-4,0.32153929937246095,1164,***,+0.2777***
1941,densidade,log(pib_2010),densidade_sintetica_1941,0.001839255221592603,4.8772679958010553e-4,3.771076806064496,1.625446301158906e-4,0.3219872244149874,1164,***,+0.0018***
1947,dummy,log(pib_2010),dummy_atendida_sintetica_1947,0.2721095856040025,0.07146968412516304,3.807342776658477,1.4046798569555818e-4,0.32123675309232724,1164,***,+0.2721***
1947,densidade,log(pib_2010),densidade_sintetica_1947,0.0018046452754480985,4.7168845860156726e-4,3.825926292108989,1.3028127019176772e-4,0.3219577914346401,1164,***,+0.0018***
1948,dummy,log(pib_2010),dummy_atendida_sintetica_1948,0.2666189970583783,0.0700591857802777,3.8056251166629176,1.414464885873823e-4,0.3211133247846414,1164,***,+0.2666***
1948,densidade,log(pib_2010),densidade_sintetica_1948,0.0018697527956576222,4.4862029014648393e-4,4.167784731820999,3.075741928038056e-5,0.32364371653701685,1164,***,+0.0019***
1949,dummy,log(pib_2010),dummy_atendida_sintetica_1949,0.2754487784873453,0.0667248705889512,4.128127579058297,3.6572919119626235e-5,0.3223343519165366,1164,***,+0.2754***
1949,densidade,log(pib_2010),densidade_sintetica_1949,0.0019481239846709877,4.440966705845539e-4,4.386711528610918,1.150772483460294e-5,0.32706274919424927,1164,***,+0.0019***
1950,dummy,log(pib_2010),dummy_atendida_sintetica_1950,0.2498705609264432,0.06586393368530682,3.7937388027916294,1.4839577635927803e-4,0.3203949047408079,1164,***,+0.2499***
1950,densidade,log(pib_2010),densidade_sintetica_1950,0.0019940336876002585,4.4123212398346554e-4,4.519239600231333,6.206212807002842e-6,0.3283002656924693,1164,***,+0.0020***
1951,dummy,log(pib_2010),dummy_atendida_sintetica_1951,0.25076779004257,0.06464857326601406,3.8789377301602315,1.049136042621246e-4,0.32056283598716007,1164,***,+0.2508***
1951,densidade,log(pib_2010),densidade_sintetica_1951,0.001836154109112148,4.3607267703420053e-4,4.210660758660972,2.5462485876648344e-5,0.3273591400948871,1164,***,+0.0018***
1956,dummy,log(pib_2010),dummy_atendida_sintetica_1956,0.25076779004257,0.06464857326601406,3.8789377301602315,1.049136042621246e-4,0.32056283598716007,1164,***,+0.2508***
1956,densidade,log(pib_2010),densidade_sintetica_1956,0.0019114840457687943,4.3901221647516024e-4,4.354056616274021,1.3364116787206726e-5,0.3300073794686126,1164,***,+0.0019***
1957,dummy,log(pib_2010),dummy_atendida_sintetica_1957,0.2511989372282144,0.06494360234588081,3.8679550895616006,1.0975187154627086e-4,0.32055447659130976,1164,***,+0.2512***
1957,densidade,log(pib_2010),densidade_sintetica_1957,0.001884833155407857,4.1844626329992044e-4,4.504361302079324,6.657286049094324e-6,0.33057643829866223,1164,***,+0.0019***
1958,dummy,log(pib_2010),dummy_atendida_sintetica_1958,0.2511989372282144,0.06494360234588081,3.8679550895616006,1.0975187154627086e-4,0.32055447659130976,1164,***,+0.2512***
1958,densidade,log(pib_2010),densidade_sintetica_1958,0.0018897370182252699,4.011773709114619e-4,4.710477597307767,2.471369658030298e-6,0.3324178975373796,1164,***,+0.0019***
1962,dummy,log(pib_2010),dummy_atendida_sintetica_1962,0.2477932710392254,0.06512715265979505,3.804761315662364,1.4194099447562003e-4,0.32024146987387825,1164,***,+0.2478***
1962,densidade,log(pib_2010),densidade_sintetica_1962,0.0017957114606815534,3.6208898322903865e-4,4.9593098488326,7.074405512508264e-7,0.3335103981801699,1164,***,+0.0018***
1966,dummy,log(pib_2010),dummy_atendida_sintetica_1966,0.2593596596100235,0.06449321605248132,4.021502965505236,5.78279798673087e-5,0.3210555839489765,1164,***,+0.2594***
1966,densidade,log(pib_2010),densidade_sintetica_1966,0.0018135654491031764,3.6177181144847096e-4,5.013009282956508,5.358531063315297e-7,0.3339311368076223,1164,***,+0.0018***
1969,dummy,log(pib_2010),dummy_atendida_sintetica_1969,0.2706767218254681,0.06496216427570185,4.166682635090573,3.0906429699717464e-5,0.3217613996510936,1164,***,+0.2707***
1969,densidade,log(pib_2010),densidade_sintetica_1969,0.0018206009432851198,3.619501580031437e-4,5.029976926462088,4.905388641951447e-7,0.3340854119718287,1164,***,+0.0018***
1972,dummy,log(pib_2010),dummy_atendida_sintetica_1972,0.27127187527726293,0.06481134527274285,4.185561557713097,2.844619619546407e-5,0.3218214471072921,1164,***,+0.2713***
1972,densidade,log(pib_2010),densidade_sintetica_1972,0.001821020799554585,3.619697289424451e-4,5.030864887168883,4.882721644783317e-7,0.33409495033381587,1164,***,+0.0018***
1985,dummy,log(pib_2010),dummy_atendida_sintetica_1985,0.2815054201484484,0.06466719743633981,4.353140870617908,1.34200854646771e-5,0.32261001711730997,1164,***,+0.2815***
1985,densidade,log(pib_2010),densidade_sintetica_1985,0.0018133353673858038,3.6163220328258247e-4,5.014308324662249,5.322458029866084e-7,0.333919954335546,1164,***,+0.0018***
1996,dummy,log(pib_2010),dummy_atendida_sintetica_1996,0.28327335907376927,0.06447082075355345,4.393822752103804,1.1137463436172723e-5,0.3227805205273937,1164,***,+0.2833***
1996,densidade,log(pib_2010),densidade_sintetica_1996,0.0018037676123865958,3.606681016640713e-4,5.001184202496058,5.697923946001993e-7,0.3337646705073589,1164,***,+0.0018***
2003,dummy,log(pib_2010),dummy_atendida_sintetica_2003,0.28327335907376927,0.06447082075355345,4.393822752103804,1.1137463436172723e-5,0.3227805205273937,1164,***,+0.2833***
2003,densidade,log(pib_2010),densidade_sintetica_2003,0.0017898211876848401,3.59083240567111e-4,4.984418612403412,6.214839824991714e-7,0.3335715509840561,1164,***,+0.0018***
