"code_amc","x","y","sabem_7a14","nsabem_7a14","sabem_15a","nsabem_15a","numeroestabelecimento","commaquinas","cominstruagra","fabeofi","casaneg","popu"
10064,226190.950937529,8688319.25376431,115.066385757197,865.77549677471,269.531432972089,721.278877972096,67.2647481878792,1.36820900279131,0.0539448733977172,2.55019403674357,41.2761736929201,24042.805164071
10065,502091.148067216,8506730.72612001,293,707,434,566,0,0,0,0,7,6462
10066,372396.278963906,8784236.93197007,87.874430204257,907.88974210403,233.18449334562,760.828919081721,99.7719096221384,1.24146166865325,0.153517844428193,3.89969035069709,69.6066908912116,30596.2389754229
10067,444324.008213167,8292292.67979245,166.786148560207,818.931293257146,318.706493019021,664.064829590774,311.129136208904,0.348337590661068,0.14992781736373,4.56093199210084,90.2374655999069,20018.7859085341
10068,584620.87505039,8601049.04474213,99,901,189,811,155,2,3,6,8,16995
10069,480301.754841243,8457148.39778913,72,928,171,829,0,0,0,9,98,26080
10070,41427.7845950311,8941399.91172053,102.500693920007,885.71617814001,274.05758337904,710.501811027859,95.1757182856368,12.2793152783323,0.0960786260235699,3.36217504059851,20.677025948928,18991.8955893558
10071,301046.538341231,8859466.91658277,54,946,177,823,0,0,0,0,33,37425
10072,-65200.1107980041,8546219.09414896,78.3591006851617,914.613559573234,216.983211894847,777.815691327939,12.1757376853144,6.32052081566988,0.0507091410666825,0.0348685423154366,2.87890452111301,9400.32853430711
10073,482874.685491287,8278212.40235482,179,821,409,591,0,0,0,2,132,18606
10074,479178.579190929,8687625.53140983,85.979463237842,907.470428983561,198.176400197843,797.681317208208,335.631148036946,1.72344406001828,1.3205628147209,9.26644717192272,68.2988237319131,37122.604553051
10075,556119.023342104,8598501.98211121,177.879489234365,755.431767525486,286.297895652236,652.051274328005,56.4302934698546,0.772901585433302,1.10735367468579,38.0590423024615,397.091675028517,73395.5277917216
10076,86429.0944838255,8403874.16625734,57.5283029812728,941.428336095226,169.269691250221,829.372445398471,237.920819713266,76.3728655956804,1.65719072253589,4.45044779332945,37.8576152501339,17872.2272282392
10077,250025.854168506,8304385.68240782,58.263028840482,938.650558676862,180.409841744125,816.746869476966,128.948872585802,29.5821645167812,0.234963883151528,3.07505973343188,42.1645061118447,49647.329170465
10078,448142.344044302,8813714.38780173,82.8565946488779,913.257710401975,253.610844232567,739.173577658023,69.8566191498979,0.712957820018548,0.15520549582742,5.369334008384,83.1630320423399,26807.4416153547
10079,504279.901885543,8870154.97270039,71.5960236870092,924.345853165022,213.741958088387,773.513671591996,164.801137499333,5.87237317413148,0.122005106022757,4.7289333404992,48.9856518629307,20137.2415534687
10080,434555.23673882,8702048.39607537,59,941,197,803,0,0,0,0,6,19337
10081,315714.493065738,8771383.49748494,80,920,190,810,0,0,0,2,62,48804
10082,241716.744302101,8353198.5298372,56.3490964212579,942.1758732496,176.064183987099,822.218342184925,102.583759764857,45.1239472822286,0.228280173471848,2.52764603720811,39.8866224581318,44054.270391832
10083,427753.749242803,8047296.36939521,174,826,367,633,168,19,0,4,61,9966
10084,615647.970267157,8669146.69659867,109.927249655874,886.369386659019,178.0438251151,818.454515917191,119.465189544566,13.0218784858192,0.983963901995146,8.52506888306678,34.2273335441196,21089.2951740579
10085,-38169.6340541465,8444755.67686838,26,974,117,883,0,0,0,0,0,0
10086,243291.12326554,8977743.91289301,87,913,256,744,185,1,0,1,31,21154
10087,446748.775836676,8606106.94840637,149,851,301,699,0,0,0,12,143,23346
10088,-119655.612040087,8637652.03434418,77.0643155920777,920.644583211598,198.602593163543,799.630600976751,27.8348910609067,6.69132348820996,0.100187767343129,1.4984078506087,8.33462122652552,5466.33518547175
10089,563482.095027345,8636554.61508324,122,878,225,775,313,3,7,3,40,16525
10090,160848.505337633,8765113.12790854,108.502814028104,883.656591722752,265.761214028226,727.950930624103,34.4778108117515,3.66448064932728,0.0769026127531028,4.17856407068326,34.3471558622128,25141.4038806326
10091,479236.666217986,8975119.08067793,80.9338797985865,914.001141499,227.834394168647,764.564572471006,325.195945272876,15.9424641999311,1.49529586289692,3.87189169974032,45.7290294675884,16713.3630893
10092,567442.081324179,8835071.4321362,69.2951012321394,928.109077071107,173.135401413751,821.433866887924,281.082334950622,5.59421807647685,0.0357158900018638,4.38835304926356,22.3618962647302,15811.7286987548
10093,553512.848337711,8771542.43443559,51,949,187,813,0,0,0,0,23,8473
10094,436284.219468567,8381870.58586699,151.058050916781,833.690237703167,277.405491097721,706.458918585664,455.587353163722,5.82323824442495,0.217115154682826,8.67701617702379,118.416846289996,31837.0993507603
10095,-170947.895221454,8388327.59643424,52.6600443004515,941.45051521777,165.773435046469,828.329635155123,56.2855145049043,22.507109953769,0.237120984970918,1.07838289374283,10.6502567605457,14240.3915828775
10096,500155.457587318,8617349.00440511,121.869766850619,869.79678292325,216.890974670324,775.745807664288,136.452127567543,8.13394415573234,1.35579480934616,14.4061534048505,101.449245622839,32796.1165399244
10097,473744.289234196,8578766.65396556,68,932,147,853,0,0,0,7,51,37924
10098,471971.971467171,8726558.94740586,77.92350664755,918.28924578675,202.088667945548,794.723183119898,384.003378399104,0.871489020647271,1.71261179657091,3.27173768973504,37.8778604926266,28486.6220929692
10099,528265.483665014,8636058.96387278,89.6006500037268,893.067185209164,194.070103387909,796.814817175208,242.546995495378,1.45660605331657,1.07446487776507,10.9009164038102,76.8484158417608,32455.9146337177
10100,643739.203395318,8692258.5844361,94.1275448602489,897.415474425685,169.1846446821,824.211457061366,80.3994442561639,11.3631180602216,0.326185276112387,9.23753297061381,25.8252244812186,11308.2908337435
10101,173856.155752319,8364081.64792094,44,956,154,846,0,0,0,1,69,60297
10102,273527.996964006,8468557.3906789,72.6853390315472,923.671478546667,187.892569999861,810.330791338495,112.645297112175,36.665295746073,0.262814791955231,1.55636470241991,41.5079175143332,21421.8577475282
10103,523183.451873196,8649785.97811515,44,956,145,855,329,0,0,1,24,18491
10104,188234.717941006,8335466.34173175,49.0687133945506,949.833245225045,161.614825808771,836.463961211817,82.7434117697953,38.5340861947876,0.180451732131509,2.6175638095859,48.1730507585895,42272.1162846374
10105,-73750.1017793933,8479354.23112451,55.2905904742356,934.103229909732,175.60761064722,813.968577643868,41.9273201461814,20.5193042924725,0.142605754117628,0.502122513899027,6.83492275993297,9765.92168348077
10106,613962.897196477,8865160.1380146,81.7786153944711,912.090655865578,177.987873346967,813.143516876081,346.979345498911,7.35745073932391,0.735778446421691,3.84159216492537,20.5311162484047,16610.4018976006
10107,-195031.008344415,8472879.59867595,43,957,143,857,0,0,0,0,2,15338
10108,-61651.5753807762,8695484.93080417,82.6530707552688,912.253238661967,208.939007409218,786.60347559991,77.5827958938061,17.7504092542158,0.324170792032106,8.34021770681296,29.0556409665012,12906.036433634
10109,413990.756056143,8515463.56105968,87.3191018133411,907.68556543719,168.335033575854,823.81211141665,763.683612283947,104.353642407921,0.067292451208166,4.5670917014849,67.242204878325,37642.4598669503
10110,590794.252930517,8727755.59010064,77.7959378353719,918.480408334574,170.594753864723,824.242311536729,124.391165182303,7.14389779584585,0.180771467314683,4.89680550054016,26.9928720342365,13081.1375571099
10111,-72866.7364421823,8646474.72345649,77.1939438946661,918.498920143156,201.98107411958,794.920407031411,38.644304497735,9.01719346893682,0.147872245242385,3.48993975511317,14.8661601080131,9281.2541422952
10112,487042.638954352,8597751.56194287,115,885,207,793,197,33,0,4,61,20210
10113,428890.511140438,8980860.71238545,91,909,259,741,669,0,0,1,53,16500
10114,393493.734713491,8408132.05950284,100.995381520457,887.554855532703,218.95822553989,768.71222057953,272.321875917859,18.0044538843796,0.0760869046905071,4.66354645527644,65.1634257906872,26435.9770004073
10115,207015.578395143,8466260.19872921,66.9904776540783,928.795656157461,186.786895542018,811.124243105596,132.343326951901,65.5281397180461,0.367318273592525,4.74437979255821,50.486758174198,28145.6434369523
10116,481561.577629165,8572639.73104334,93.1505603043728,889.272397221655,189.585928820085,794.226972873534,185.930259591689,39.5671349024249,0.97445659264115,8.20428419784579,62.9646792016474,26631.4086882348
10117,442124.836713613,8570319.96820729,91.0436947140261,901.474086192396,191.067183094365,800.842695953024,387.963115601031,91.7268264801918,0.372092405006317,3.40015502069434,41.9672189535492,28468.898787502
10118,301141.363737751,8282769.01182123,76.6204022774206,901.120651614993,213.105333337148,767.248784985977,116.668128419432,7.32747600807042,0.0798988594739832,2.72073425599361,47.6439775992266,49618.1919112312
10119,603930.496712677,8665293.74911027,111,889,170,830,121,17,1,10,33,22910
10120,621097.072419179,8680334.6168581,105.82835528483,887.235859559705,180.323357675381,813.922093617216,108.968642698016,10.709530594221,0.837801766247488,9.08680083384369,32.5388692919942,17796.1465440785
10121,459084.862426782,8202975.77539757,231.535390399645,745.460722250052,402.135209006235,579.9051540853,113.164067845986,1.11674915698797,0.028243907481164,3.05571763103935,37.3245383401221,8782.21967672538
10122,495942.426536607,8652463.1373552,93,907,191,809,0,0,0,18,176,77600
10123,364911.870104673,8814396.53510639,93.7485010581813,899.441643117579,241.047219075447,751.982775143949,117.449827130452,1.89296879977406,0.117288829353066,5.62850691393263,79.3759329870092,32524.0490052347
10124,401929.208155973,8349652.74301436,134.830106082658,846.667805522264,267.611312744631,715.386484808488,493.565589388842,4.09329926425455,0.231432468456063,7.0830567369416,104.496679669053,30921.5122524338
10125,422734.760707511,8359710.03972399,154.237622767742,830.015351457113,286.369458226354,699.008524816873,689.800655816844,2.32706902346277,0.33460397226027,9.117544889285,129.130262479921,32505.6603496825
10126,-239221.842794458,8772522.85813055,85.3808916776402,909.43108136658,206.436984875209,789.629775775465,147.762999667685,26.9690055270249,0.325237578248733,3.46233571954912,24.6377587516307,14093.6884064346
10127,443295.683618349,8474336.76361272,101.168967156285,888.331302227803,186.439733861253,797.213905792475,162.499084793421,35.1237763782203,0.0261645941614954,4.12067558812515,38.655937910357,18936.1936594851
10128,107226.592861473,8736801.18646515,108.805120432721,883.348552826235,266.299058935891,727.842015693378,32.3474730313609,8.01642545740896,0.129073616846052,7.75518213240833,35.3937057602342,24617.4048953788
10129,564095.67950479,8983632.27224478,49,951,186,814,0,0,0,0,18,14084
10130,437684.829422101,8421093.9817708,119.742323951569,866.335462851199,234.421836111285,747.79463463637,188.953918325034,13.0814998982691,0.0572117947889536,6.1846727893493,73.6605706892016,24346.5428951288
10131,492184.022280506,8608979.35578999,122.033592291724,871.954319961297,222.637740963796,771.740971354429,224.052246833254,12.9764863063053,0.858729481786462,15.1426962005968,93.6842754372397,26115.8261910654
10132,87509.029827672,8426356.01294482,60,940,164,836,187,27,3,1,44,8304
10133,401231.586436281,8170794.84746365,176.125520514215,796.76773817893,353.196313490146,622.047796448414,127.016993292439,1.96025840899407,0.0331707808020495,3.70244727495724,43.5178920435603,12791.6906523004
