code_amc,pib_2021,pib_2023
10166,126615,151142
10167,128429,162850
10168,1102618,746823
10169,127478,153619
10170,613463,953981
10171,89468,110197
10172,255369,382795
10173,1237391,1547930
10174,103343,118906
10175,294534,403898
10176,81829,110577
10177,293429,341096
10178,246765,298514
10179,106333,135712
10180,335601,329116
10181,1466169,1938472
10182,438660,534863
10183,94612,124199
10184,100679,105758
10185,330772,375540
10186,531678,678770
10187,120556,152011
10188,351480,429678
10189,250715,281112
10190,256554,341991
10191,484258,577874
10192,321254,417646
10193,122734,150696
10194,1197315,805704
10195,206796,261121
10196,168106,217807
10197,3175607,3882707
10198,604396,792065
10199,150225,195943
10200,175501,253023
10201,6025678,7068148
10202,113552,151838
10203,68637,87228
10204,55228,70953
10205,292274,344541
10206,112925,132126
10207,60929,66280
10208,734132,794699
10209,64992,83252
10210,7322788,8918480
10211,170248,210370
10212,157145,165212
10213,574693,705491
10214,90666,108592
10215,226872,269681
10216,430548,549586
10217,67455,80972
10218,63497079,77409215
10219,150266,203874
10220,204964,210896
10221,270614,364092
10222,80501,111365
10223,139733,165432
10224,379371,507187
10225,402216,479212
10226,343435,434712
10227,94273,119538
10228,161322,193317
10229,1307567,1734857
10230,409291,529961
10231,514264,505592
10232,272751,340200
10233,144021,181064
10234,141314,167191
10235,459587,590805
10236,78576,102667
10237,106587,132840
10238,774984,599591
10239,2213929,3127407
10240,198985,219477
10241,66760,86329
10242,470758,511682
10243,330399,463721
10244,185842,201028
10245,418299,506165
10246,174011,227966
10247,73231,89840
10248,271385,341842
10249,575879,699744
10250,241905,296049
10251,291778,420124
10252,80572,110003
10253,237973,291639
10254,107772,153919
10255,270522,310453
10256,260302,327813
10257,105694,135359
10258,3964729,4258891
10259,52230,68924
10260,119243,178830
10261,242589,220692
10262,291131,367179
10263,296449,285213
10264,79283,92317
10265,187717,218911
10266,79136,88316
10267,309692,324874
10268,1843255,3036559
10269,114890,151243
10270,718093,893316
10271,132058,167733
10272,2078623,2612387
10273,227708,277904
10274,486107,573383
10275,149704,175548
10276,1539859,1896806
10277,155831,198436
10278,115515,143762
10279,100333,119203
10280,1030915,1275892
10281,143383,162518
10282,392238,537946
10283,201345,250081
10284,180434,229692
10285,119246,161580
10286,71169,77737
10287,76085,113748
10288,521838,678133
10289,600085,696761
10290,343471,426643
10291,68800,84482
10292,1283718,1555343
10293,2449482,3028414
10294,913473,1295366
10295,5846224,8525862
10296,356751,459591
10297,172669,198066
10298,211989,282891
10299,13095067,26505737
10300,1156472,1673386
10301,176578,207568
10302,849766,957089
10303,213065,343805
10304,257706,352993
10305,102999,120918
10306,625080,861825
10307,107168,123933
10308,1714711,1566194
10309,199802,261412
10310,138171,175258
10311,118127,153750
10312,6340237,8508321
10313,135851,177203
10314,268071,341963
10315,252999,315577
10316,66752,83841
10317,221530,254682
10318,148710,174265
10319,177343,123381
10320,191244,238098
10321,216597,279612
10322,170369,164871
10323,544589,823511
10324,234752,318312
10325,228976,305087
10326,244475,316059
10327,223669,264213
10328,175916,177265
10329,199656,232370
10330,296011,384146
10331,185676,297919
10332,116185,154661
10333,601816,709330
10334,8218063,12666571
10335,89462,115311
10336,331451,424520
