code_amc,ano,dens_placebo_5km,dens_placebo_10km,dens_placebo_20km,dens_placebo_50km
6042,1858,0,0,0,0
6043,1858,0,0,0,0
6044,1858,0,0,0,0
6045,1858,0,0,0,0
6046,1858,0,0,0,0
6047,1858,0,0,0,0
6048,1858,0,0,0,0
6049,1858,0,0,0,0
6050,1858,0,0,0,0
6051,1858,0,0,0,0
6052,1858,0,0,0,0
6053,1858,0,0,0,0
6054,1858,0,0,0,0
6055,1858,0,0,0,0
6056,1858,0,0,0,0
6057,1858,0,0,0,0
6058,1858,0,0,0,0
6059,1858,0,0,0,0
6060,1858,0,0,0,0
6061,1858,0,0,0,0
6062,1858,0,0,0,0
6063,1858,0,0,0,0
6064,1858,0,0,0,0
6065,1858,0,0,0,0
6066,1858,0,0,0,0
6067,1858,0,0,0,0
6068,1858,0,0,0,0
6069,1858,0,0,0,0
6070,1858,0,0,0,0
6071,1858,0,0,0,0
6072,1858,0,0,0,0
6073,1858,0,0,0,0
6074,1858,0,0,0,0
6075,1858,0,0,0,0
6076,1858,0,0,0,0
6077,1858,0,0,0,0
6078,1858,0,0,0,0
6079,1858,0,0,0,0
6080,1858,0,0,0,0
6081,1858,0,0,0,0
6082,1858,0,0,0,0
6083,1858,0,0,0,0
6084,1858,0,0,0,0
6085,1858,0,0,0,0
6086,1858,0,0,0,0
6087,1858,0,0,0,0
6088,1858,0,0,0,0
6089,1858,0,0,0,0
6090,1858,0,0,0,0
6091,1858,0,0,0,0
6092,1858,0,0,0,0
6093,1858,0,0,0,0
6094,1858,0,0,0,0
6095,1858,0,0,0,0
6096,1858,0,0,0,0
6097,1858,0,0,0,0
6098,1858,0,0,0,0
6099,1858,0,0,0,0
6100,1858,0,0,0,0
6101,1858,0,0,0,0
6102,1858,0,0,0,0
6103,1858,0,0,0,0
6104,1858,0,0,0,0
6105,1858,0,0,0,0
6106,1858,0,0,0,0
6107,1858,0,0,0,0
6108,1858,0,0,0,0
6109,1858,0,0,0,0
6110,1858,0,0,0,0
6111,1858,0,0,0,0
6112,1858,0,0,0,0
6113,1858,0,0,0,0
6114,1858,0,0,0,0
6115,1858,0,0,0,0
6116,1858,0,0,0,0
6117,1858,0,0,0,0
6118,1858,0,0,0,0
6119,1858,0,0,0,0
6120,1858,0,0,0,0
6121,1858,0,0,0,0
6122,1858,0,0,0,0
6123,1858,0,0,0,0
6124,1858,0,0,0,0
6125,1858,0,0,0,0
6126,1858,0,0,0,0
6127,1858,0,0,0,0
6128,1858,0,0,0,0
6129,1858,0,0,0,0
6130,1858,0,0,0,0
6131,1858,0,0,0,0
6132,1858,0,0,0,0
6133,1858,0,0,0,0
6134,1858,0,0,0,0
6135,1858,0,0,0,0
6136,1858,0,0,0,0
6137,1858,0,0,0,0
6138,1858,0,0,0,0
6139,1858,0,0,0,0
6140,1858,0,0,0,0
6141,1858,0,0,0,0
6142,1858,0,0,0,0
6143,1858,0,0,0,0
6144,1858,0,0,0,0
6145,1858,0,0,0,0
6146,1858,0,0,0,0
6147,1858,0,0,0,0
6148,1858,0,0,0,0
6149,1858,0,0,0,0
6150,1858,0,0,0,0
6151,1858,0,0,0,0
6152,1858,0,0,0,0
6153,1858,0,0,0,0
6154,1858,0,0,0,0
6155,1858,0,0,0,0
6156,1858,0,0,0,0
6157,1858,0,0,0,0
6158,1858,0,0,0,0
6159,1858,0,0,0,0
6160,1858,0,0,0,0
6161,1858,0,0,0,0
6162,1858,0,0,0,0
6163,1858,0,0,0,0
6164,1858,0,0,0,0
6165,1858,0,0,0,0
6166,1858,0,0,0,0
6167,1858,0,0,0,0
6168,1858,0,0,0,0
6169,1858,0,0,0,0
6170,1858,0,0,0,0
7001,1858,0,0,0,0
7002,1858,0,0,0,0
7003,1858,0,0,0,0
7004,1858,0,0,0,0.1980517311307038
7005,1858,0.08021991946694783,0.1941630141934056,0.5324352115954314,1.000000000000005
7006,1858,0,0,0,0
7007,1858,0,0,0,0
7008,1858,0,0,0,0
