code_amc,area_amc_km2,dist_rio_km,dist_rio_principal_km,comp_total_rios_km,comp_rios_principais_km,pct_comp_principal,comp_maior_rio_km,densidade_hidro_km_km2,n_rios_distintos,n_segmentos_rios,otto_min
3031,1592.4147638132874,0.8654844932215088,2.79154565401901,668.6592607715947,178.12808997860105,26.639590659830446,53.315723616704624,0.41990270120981865,13,85,3
3032,2744.773914742814,0.5520007802483334,4.670200012485978,1229.7751928143562,213.96106816657434,17.398388698744338,52.555951232148324,0.4480424366498639,10,258,3
3033,2437.2445299595083,0.4404550321331831,0.4404550321331831,1029.4532478860785,425.08900750187894,41.292696717871756,44.2244264955862,0.42238406332711376,27,200,3
3034,669.2026501776295,0.3676802297259503,0.3676802297259503,135.02881064348787,56.71008271420706,41.998505684788135,35.48610020478541,0.20177566632117575,2,17,3
3035,4165.547616437947,0.6790357336656406,0.6790357336656406,1677.8236501321699,1095.302368472488,65.28113776356687,122.24271458433967,0.4027858530559577,73,236,1
3036,11669.071767569072,2.8184625883989574,7.272681169440425,1709.4926938027177,918.4300348249876,53.7252974613168,258.9530532635402,0.14649774445245725,28,205,1
3037,10338.229762510207,0.7741271147125022,0.7741271147125022,4663.273446903333,2748.7563181085716,58.944780944250546,141.10095988305787,0.4510707881356906,203,770,1
3038,6622.424346225777,1.6270935339667763,4.000890997266701,1561.3646547714598,932.4753612580638,59.721818244601685,113.8083467617978,0.23576934565682214,57,147,2
3039,505.3002676452036,1.6188213770467177,2.284558298566594,188.03532176176356,99.66433066416496,53.00298355137627,81.61313539834401,0.3721259096854318,3,23,1
3040,1018.1229225054792,0.0988900211674408,0.36802598712984663,438.6466661604456,86.45889284889957,19.710372725658683,46.22568648667071,0.4308386113937877,4,99,4
3041,3266.422228071511,0.6539205316307527,3.792345196102103,1244.9117896785513,432.98880066990165,34.780681190408174,80.0328952081071,0.3811239646178702,32,220,3
3042,979.8610947457167,0.9701633537638155,1.7599432969626774,240.37313002125666,153.98694958577218,64.0616318355362,26.583138665900613,0.24531347484883637,14,27,2
3043,2592.5342377782827,0.22312718240566637,2.367338104183023,729.1502157829245,373.64572045952144,51.2439977897174,44.5514289564308,0.2812499851140953,21,89,3
3044,2451.1519843694623,0.8492822817943708,0.8492822817943708,745.0792025724523,290.83775777503627,39.03447536461801,171.4365750599646,0.3039710337521635,9,129,1
3045,361.69531969917307,0.32140231013594417,2.721443823761694,111.0650279312352,49.65798250759145,44.71072796950692,28.69942929126024,0.3070679156799969,3,14,5
3046,319.10191850067974,0.7527556964333098,3.354543938539771,67.34230575211974,29.193154820012172,43.35039392246123,16.188146579444687,0.21103698175345284,4,11,2
3047,1139.9500713439052,2.56588123486107,7.854017636802905,263.22508271382213,85.50955540592531,32.48533708274722,59.783314272901116,0.2309093085134,5,32,2
3048,7979.635353580781,0.8593422131801561,1.2110724122575096,3059.5862550093634,1706.5892823073293,55.778433424231295,85.24321224274536,0.38342431946296957,121,434,3
3049,2443.258419974571,1.3670357397702648,1.3670357397702648,614.8611192681767,388.21326246052405,63.138365769913264,53.67120230317745,0.2516561957758754,28,65,4
3050,700.0097988364975,0.31381286428682803,0.31381286428682803,245.26323715930914,143.4152569186995,58.474012893153265,47.07961621232142,0.3503711484710169,9,29,3
3051,890.254646569892,0.5683802912802091,5.318322755088903,337.96035790158317,80.1006826457669,23.701206598051026,41.259685615724784,0.37962212183191413,5,48,4
3052,449.48495760404813,1.1484576411419087,6.143372915860124,108.46245885752211,18.768763754291655,17.304387114205642,20.029328216054353,0.2413038679551693,1,18,4
3053,1251.7878941694344,0.06783273012670993,0.06783273012670993,362.40537712512696,229.50296248663963,63.327692405457775,64.58398734249421,0.2895102108057885,14,37,3
3054,1536.1245086471051,0.32540458697680696,0.32540458697680696,444.2200876719304,159.8355682739488,35.981166252885004,44.631416961876575,0.2891823450321509,9,43,5
3055,274.3694260969559,1.0829577907113537,2.6074826600932846,96.67627426426397,53.19652072121038,55.025414587035115,21.721773146568232,0.3523580438226407,5,12,4
3056,600.9157235428313,0.26393664661127847,0.26393664661127847,198.86425324436317,120.68106147564143,60.68514552353926,72.8209403468964,0.33093534659388685,7,28,1
