code_amc,area_amc_km2,densidade_buffer_real_1858,densidade_buffer_sintetica_1858,densidade_buffer_real_1860,densidade_buffer_sintetica_1860,densidade_buffer_real_1862,densidade_buffer_sintetica_1862,densidade_buffer_real_1863,densidade_buffer_sintetica_1863,densidade_buffer_real_1873,densidade_buffer_sintetica_1873,densidade_buffer_real_1875,densidade_buffer_sintetica_1875,densidade_buffer_real_1876,densidade_buffer_sintetica_1876,densidade_buffer_real_1880,densidade_buffer_sintetica_1880,densidade_buffer_real_1881,densidade_buffer_sintetica_1881,densidade_buffer_real_1882,densidade_buffer_sintetica_1882,densidade_buffer_real_1883,densidade_buffer_sintetica_1883,densidade_buffer_real_1884,densidade_buffer_sintetica_1884,densidade_buffer_real_1885,densidade_buffer_sintetica_1885,densidade_buffer_real_1886,densidade_buffer_sintetica_1886,densidade_buffer_real_1887,densidade_buffer_sintetica_1887,densidade_buffer_real_1888,densidade_buffer_sintetica_1888,densidade_buffer_real_1891,densidade_buffer_sintetica_1891,densidade_buffer_real_1892,densidade_buffer_sintetica_1892,densidade_buffer_real_1894,densidade_buffer_sintetica_1894,densidade_buffer_real_1895,densidade_buffer_sintetica_1895,densidade_buffer_real_1896,densidade_buffer_sintetica_1896,densidade_buffer_real_1900,densidade_buffer_sintetica_1900,densidade_buffer_real_1901,densidade_buffer_sintetica_1901,densidade_buffer_real_1902,densidade_buffer_sintetica_1902,densidade_buffer_real_1904,densidade_buffer_sintetica_1904,densidade_buffer_real_1905,densidade_buffer_sintetica_1905,densidade_buffer_real_1906,densidade_buffer_sintetica_1906,densidade_buffer_real_1907,densidade_buffer_sintetica_1907,densidade_buffer_real_1908,densidade_buffer_sintetica_1908,densidade_buffer_real_1910,densidade_buffer_sintetica_1910,densidade_buffer_real_1911,densidade_buffer_sintetica_1911,densidade_buffer_real_1912,densidade_buffer_sintetica_1912,densidade_buffer_real_1913,densidade_buffer_sintetica_1913,densidade_buffer_real_1914,densidade_buffer_sintetica_1914,densidade_buffer_real_1915,densidade_buffer_sintetica_1915,densidade_buffer_real_1916,densidade_buffer_sintetica_1916,densidade_buffer_real_1917,densidade_buffer_sintetica_1917,densidade_buffer_real_1918,densidade_buffer_sintetica_1918,densidade_buffer_real_1919,densidade_buffer_sintetica_1919,densidade_buffer_real_1920,densidade_buffer_sintetica_1920,densidade_buffer_real_1921,densidade_buffer_sintetica_1921,densidade_buffer_real_1922,densidade_buffer_sintetica_1922,densidade_buffer_real_1923,densidade_buffer_sintetica_1923,densidade_buffer_real_1924,densidade_buffer_sintetica_1924,densidade_buffer_real_1925,densidade_buffer_sintetica_1925,densidade_buffer_real_1926,densidade_buffer_sintetica_1926,densidade_buffer_real_1927,densidade_buffer_sintetica_1927,densidade_buffer_real_1929,densidade_buffer_sintetica_1929,densidade_buffer_real_1931,densidade_buffer_sintetica_1931,densidade_buffer_real_1932,densidade_buffer_sintetica_1932,densidade_buffer_real_1933,densidade_buffer_sintetica_1933,densidade_buffer_real_1934,densidade_buffer_sintetica_1934,densidade_buffer_real_1936,densidade_buffer_sintetica_1936,densidade_buffer_real_1937,densidade_buffer_sintetica_1937,densidade_buffer_real_1940,densidade_buffer_sintetica_1940,densidade_buffer_real_1941,densidade_buffer_sintetica_1941,densidade_buffer_real_1944,densidade_buffer_sintetica_1944,densidade_buffer_real_1947,densidade_buffer_sintetica_1947,densidade_buffer_real_1948,densidade_buffer_sintetica_1948,densidade_buffer_real_1949,densidade_buffer_sintetica_1949,densidade_buffer_real_1950,densidade_buffer_sintetica_1950,densidade_buffer_real_1951,densidade_buffer_sintetica_1951,densidade_buffer_real_1953,densidade_buffer_sintetica_1953,densidade_buffer_real_1955,densidade_buffer_sintetica_1955,densidade_buffer_real_1956,densidade_buffer_sintetica_1956,densidade_buffer_real_1957,densidade_buffer_sintetica_1957,densidade_buffer_real_1958,densidade_buffer_sintetica_1958,densidade_buffer_real_1961,densidade_buffer_sintetica_1961,densidade_buffer_real_1962,densidade_buffer_sintetica_1962,densidade_buffer_real_1966,densidade_buffer_sintetica_1966,densidade_buffer_real_1969,densidade_buffer_sintetica_1969,densidade_buffer_real_1972,densidade_buffer_sintetica_1972,densidade_buffer_real_1985,densidade_buffer_sintetica_1985,densidade_buffer_real_1996,densidade_buffer_sintetica_1996,densidade_buffer_real_2003,densidade_buffer_sintetica_2003
3011,1019.9021343987735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1685551807823711,0.10208343295481961,0.1685551807823711,0.10208343295481961,0.1685551807823711,0.10208343295481961
3012,610.2056740685798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482,0,0.1060640243019482
3013,1152.405625248892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3014,5759.597520798779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02569222474259402,0.08240489161939132,0.02569222474259402,0.08240489161939132,0.02569222474259402,0.08240489161939132
3015,31669.24663369573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3016,1110.5934661828203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26406594165820657,0.006115867309470642,0.26406594165820657,0.006115867309470642,0.26406594165820657,0.006115867309470642
3017,204.5753965947837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088,0,0.11257198426322088
3018,1311.3156653057536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25155264391217086,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3187899861872703,0.2929484366457394,0.3923599855098772,0.2929484366457394,0.3923599855098772,0.2929484366457394,0.3923599855098772,0.2929484366457394
3019,1596.3201518216667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.19643770180676354,0,0.4320127336701355,0,0.4320127336701355,0,0.4320127336701355
3020,13347.47591591541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
